列,重要度%,欠損%,値の種類
過去獲得賞金累計_R順,0.24937391024009206,13.105718137838052,50
直近3走平均タイム秒_R順,0.2500309615919492,13.195397670772401,50
過去平均着差_秒_R順,0.25097578767585715,13.196007735622297,50
過去平均獲得賞金_R順,0.2516593169844286,13.105718137838052,50
コース好走相対4角,0.2545340707838849,0.0,50
調教師勝率_sm_R偏差,0.25556822593530815,0.0,50
斤量_相対_R偏差,0.2592568150193351,3.6289707595917444,50
前走着順_R順,0.25996719868986273,13.195397670772401,50
過去最速上り,0.26270139562140293,13.195702703197352,50
前走距離_R順,0.26573963813812257,13.195397670772401,50
距離延長幅_R順,0.26754849382764234,13.105413105413104,50
過去平均上り_R順,0.2678521484945201,13.195702703197352,50
直近3走平均上り_R順,0.2683274774624855,13.195702703197352,50
騎手複勝率_R順,0.2684472716229278,0.10737141358126369,50
コース先行勝率,0.26965693781773165,0.0,50
過去平均獲得賞金,0.2703258039838637,13.105718137838052,50
コース差し複勝率,0.2711075176623183,0.0,50
過去獲得賞金累計,0.27217558441582584,13.105718137838052,50
過去平均先行指数,0.2744579683326954,13.169469914651927,50
過去最速タイム秒_R順,0.2782687397541257,13.195397670772401,50
過去平均タイム秒_R順,0.2798868763640549,13.195397670772401,50
直近3走平均着順_R偏差,0.28238239378501656,13.215834843243837,50
斤量×年齢_負担,0.28349807910286146,0.0,50
直近5走着外率_R順,0.28756431143004163,13.195397670772401,50
脚質スコア_R偏差,0.2880031915330861,13.189602054698415,50
直近5走勝利数_R順,0.28833386820956336,13.195397670772401,50
馬体重_R順,0.28880323719947876,0.1735634497947132,50
クラス変化_R順,0.28955612638365974,13.105413105413104,50
速度_過去最高,0.29204781515974376,13.198142962596924,50
競馬場過去平均着順,0.29429796771937416,46.36614872160911,50
過去着順_std_R順,0.29508692581282897,25.132841621064316,50
調教師複勝率_R順,0.29550061712998305,0.11530225662987977,50
直近5走平均着順_R偏差,0.29655467937236446,13.215834843243837,50
馬主勝率_R順,0.2968696720403241,0.7445841492950701,50
調教師勝率_R順,0.29933888416638343,0.11530225662987977,50
経験最長距離_R順,0.2993985999579308,13.105413105413104,50
前走距離_R偏差,0.3003234486902297,13.595600212302566,50
年齢_R順,0.300947188053615,0.0,50
経験範囲超過_R偏差,0.3010536693779282,51.54468419993046,50
斤量_R順,0.30364889834132264,0.0,50
騎手調子トレンド,0.30744021553532436,1.2274504779858098,50
過去最速上り_R順,0.3088758039807077,13.195702703197352,50
近5走平均着差_秒,0.3097937358696044,13.196007735622297,50
速度_直近3,0.3099200591941134,13.19844799502187,50
斤量×年齢_負担_R順,0.31039022951671713,0.0,50
近走改善度_R順,0.3111708122665316,44.160459256819,50
過去出走数_R順,0.3123904195959682,0.0,50
過去平均先行指数_R偏差,0.3134587828705999,13.190822184398202,50
距離×馬場_過去平均着順,0.31572282903790905,44.813838711054984,50
脚質コース適合_R順,0.31694346950412244,13.169469914651927,50
騎手競馬場勝率_R順,0.31868523944601174,0.618910790217,50
過去平均4角位置,0.3196059468797658,13.169469914651927,50
他馬想定先行馬数_R順,0.32178283760615556,0.0,50
騎手勝率_sm_R偏差,0.3220559143768806,0.009761037598296699,50
馬体重_R偏差,0.3231487734543617,0.1735634497947132,50
速度_過去平均,0.32331700314607026,13.198142962596924,50
過去平均上り,0.32366816893081146,13.195702703197352,50
前走余力_R順,0.32434323204897036,13.195397670772401,50
芝ダート×先行_過去勝率_R偏差,0.3259519550708819,48.65511203840968,50
過去勝率_R偏差,0.32741665397387903,46.798074635333734,50
前走4角位置_R順,0.3309607872533177,13.169469914651927,50
直近5走着順_std_R順,0.33171067481903127,25.132841621064316,50
枠番_R偏差,0.3339394503265083,0.0,50
過去平均体重増減_R順,0.33409005175796724,13.195397670772401,50
騎手複勝率_R偏差,0.33496452500512697,0.10798147843115724,50
先行有利コース×先行馬_R順,0.3356804954874289,0.0,50
直近5走着外率_R偏差,0.33696400350842537,13.721273571380637,50
直近3走平均タイム秒,0.33815972371150155,13.195397670772401,50
馬主複勝率_R順,0.3387121098958941,0.7445841492950701,50
距離別過去平均着順,0.33893729331960365,26.17452735225754,50
体重増減_異常度_R順,0.3420328538585869,26.688506988292854,50
騎手勝率_R偏差,0.34222365509580005,0.10798147843115724,50
負担率_R順,0.34326027830830175,0.1735634497947132,50
前走上り_R順,0.34476644027614767,13.195702703197352,50
過去複勝率_R偏差,0.3472977491141852,13.711817566207287,50
前走間隔_R順,0.34793751628366065,13.195397670772401,50
前走上り,0.34960489318337395,13.195702703197352,50
調教師勝率_R偏差,0.35053177193772067,0.13573942910131345,50
過去平均4角位置_R偏差,0.3505933328810927,13.189602054698415,50
競馬場過去勝率_R偏差,0.35173151795774016,65.36417821214395,50
距離変化比率_R偏差,0.3522234920351464,13.526662884264598,50
距離別過去平均着順_R順,0.3564320875456173,26.17452735225754,50
直近3走平均上り,0.35816897957330895,13.195702703197352,50
体重増減_R順,0.35902073801299866,0.1735634497947132,50
過去平均着差_秒,0.36188062249736114,13.196007735622297,50
過去平均着順_R偏差,0.3635995102644323,13.215834843243837,50
斤量変化_R順,0.3639520741613788,13.105413105413104,50
過去平均タイム秒,0.36403056907391523,13.195397670772401,50
距離×馬場_過去平均着順_R順,0.364221032680049,44.813838711054984,50
過去最速タイム秒,0.3666315332186497,13.195397670772401,50
延長×距離経験不足_R偏差,0.36868895156342874,51.538583551431515,50
延長×前走余力_R偏差,0.3690202030006818,61.95452576608893,50
過去平均上り_R偏差,0.37032937375552244,13.214614713544048,50
馬体重_相対,0.3705100369663324,0.1735634497947132,50
同距離過去平均着順_R順,0.3720455866036949,20.393552834666327,50
同距離過去平均着順,0.373123559641805,20.393552834666327,50
前走着差_秒_R順,0.3755841966672142,13.197227865322084,50
距離別過去平均上り_R順,0.37613877357620684,26.17452735225754,50
直近5走複勝数_R偏差,0.3791620005883403,13.71364776075697,50
差し×先行圧_R偏差,0.3800650278138105,9.120164473483532,50
馬体重,0.38214036038217924,0.1735634497947132,50
回り別_過去勝率_R偏差,0.38219553990817223,52.85479846507683,50
芝ダート×先行_過去勝率_R順,0.3827996365300691,19.281404613310396,50
平均タイム差,0.38298336542235994,45.35313603836087,50
前走脚質指数_R順,0.3881401129989817,13.169469914651927,50
近5走着差_std_R順,0.39091931250022965,25.13375671833916,50
直近3走平均タイム秒_R偏差,0.3921480272108052,13.216139875668784,50
過去重賞出走数_R偏差,0.39367361740091844,62.75279562217464,50
競馬場過去勝率_R順,0.39578608776854135,46.21515767126046,50
枠番_R順,0.4010624101279352,0.0,50
直近5走勝利数_R偏差,0.4012313177290345,48.70818768035042,50
馬主勝率_sm_R順,0.4016701697402763,0.0,50
速度_伸び,0.40585330775524014,13.19844799502187,50
過去平均体重増減,0.4102280973606126,13.195397670772401,50
過去平均タイム秒_R偏差,0.41097849637154227,13.216139875668784,50
騎手直近複勝率_R順,0.4127010182586574,0.10737141358126369,50
競馬場過去平均着順_R順,0.4145946870871084,46.36614872160911,50
騎手複勝率,0.4156186190024029,0.10737141358126369,50
騎手勝率,0.4156225298049032,0.10737141358126369,50
距離延長×先行_R偏差,0.41603552947820416,52.27401672797818,50
直近3走平均上り_R偏差,0.42395382116948266,13.214614713544048,50
前走4角位置_R偏差,0.4247775936956981,13.189602054698415,50
同距離過去勝率_R偏差,0.4251708199788271,51.1054375080071,50
過去獲得賞金累計_R偏差,0.42562082041819804,13.196312768047244,50
斤量_相対,0.4264510095544057,0.0,50
過去平均獲得賞金_R偏差,0.42732099244212773,13.195397670772401,50
距離×クラス_過去勝率_R順,0.42782549063625663,35.93617501540414,50
上指_直近3,0.42904139729112317,13.200278189571552,50
直線長変化_R順,0.42944012352567407,13.105413105413104,50
前走着順_R偏差,0.4331876019354284,13.282941976732127,50
