構成,点数,的中,5年ROI,直近2年点数,直近2年的中,直近2年ROI,CI下,CI上,買うR数,1R点数,y2021,y2022,y2023,y2024,y2025,100超年
ADF,7729,199,90.4,2804,74,91.1,67.7,117.2,1774,4.4,56.5,100.4,113.1,85.3,96.4,2
AF,7729,199,90.4,2804,74,91.1,66.5,117.0,1774,4.4,56.5,100.4,113.1,85.3,96.4,2
ABF,9475,276,89.7,3554,109,90.7,69.7,112.1,3520,2.7,66.9,99.9,100.0,89.8,91.6,0
ABCDEFG,16472,502,88.4,6109,195,88.3,72.7,105.9,3520,4.7,64.2,91.2,110.1,85.8,90.7,1
EFG,12870,327,89.6,4683,122,87.8,68.7,108.1,1774,7.3,56.1,95.3,121.0,84.2,91.1,1
DEG,11299,292,87.5,4097,110,86.9,67.8,108.7,1774,6.4,60.1,90.9,113.1,83.9,89.6,1
CEF,9968,305,89.4,3618,111,86.8,67.8,108.2,1774,5.6,59.6,94.1,119.9,79.2,93.9,1
BEF,9979,285,89.6,3731,109,86.3,66.7,109.3,3515,2.8,65.2,100.2,109.1,85.0,87.5,2
EF,8233,208,90.2,2981,74,85.6,62.4,109.3,1769,4.7,55.1,100.7,123.4,79.5,91.1,2
DEF,8233,208,90.2,2981,74,85.6,63.2,111.0,1769,4.7,55.1,100.7,123.4,79.5,91.1,2
CDE,8369,270,86.8,3025,99,85.6,65.1,109.1,1774,4.7,65.8,88.4,109.2,78.1,92.5,1
AEF,8354,209,89.1,3020,75,85.2,62.3,110.9,1774,4.7,54.0,99.3,122.0,78.6,91.2,1
BDE,8380,250,87.0,3138,97,85.0,64.0,107.9,3515,2.4,72.5,95.4,96.3,85.1,85.0,0
DE,6634,173,87.0,2388,62,83.7,58.8,110.0,1769,3.8,61.8,95.0,110.6,78.3,88.6,1
ADE,6761,174,85.7,2428,63,83.2,59.2,111.8,1774,3.8,60.2,93.3,109.0,77.1,88.8,1
