種牡馬名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順,種別,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
コスモネモシン,,,,,,,,,,,,,母父,80.0,0.0875,0.15,0.25,0.11320754716981132,0.037037037037037035,0.07142857142857142,0.09302325581395349,0.1111111111111111,0.12280701754385964,0.0,7.825
コスモハート,,,,,,,,,,,,,母父,46.0,0.06521739130434782,0.10869565217391304,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.038461538461538464,0.10526315789473684,0.0,0.02857142857142857,0.2222222222222222,7.478260869565218
コスモバタフライ,,,,,,,,,,,,,母父,28.0,0.14285714285714285,0.17857142857142858,0.32142857142857145,0.14285714285714285,,0.0,0.18181818181818182,0.0,0.15384615384615385,0.0,6.821428571428571
コスモバルバラ,,,,,,,,,,,,,母父,44.0,0.06818181818181818,0.1590909090909091,0.22727272727272727,0.06818181818181818,,,0.07142857142857142,0.0,0.0625,0.25,7.181818181818182
コスモパルムドール,,,,,,,,,,,,,母父,15.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,8.733333333333333
コスモピクシス,,,,,,,,,,,,,母父,8.0,0.125,0.125,0.125,0.125,,,0.14285714285714285,0.0,0.125,,10.875
コスモピーコック,,,,,,,,,,,,,母父,19.0,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.058823529411764705,0.0,,0.0,0.25,0.0,0.0,7.315789473684211
コスモフォーチュン,,,,,,,,,,,,,母父,16.0,0.0625,0.125,0.1875,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,,9.1875
コスモフットライト,,,,,,,,,,,,,母父,10.0,0.0,0.0,0.1,0.0,,0.0,0.0,,0.0,,9.1
コスモフライハイ,,,,,,,,,,,,,母父,11.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.909090909090908
コスモプラチナ,,,,,,,,,,,,,母父,49.0,0.10204081632653061,0.1836734693877551,0.30612244897959184,0.10869565217391304,0.0,0.0,0.11627906976744186,0.0,0.1,0.0,6.448979591836735
コスモベル,,,,,,,,,,,,,母父,27.0,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.038461538461538464,0.0,0.043478260869565216,0.0,,0.058823529411764705,0.0,9.296296296296296
コスモポリタン,,,,,,,,,,,,,母父,21.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,,0.0,0.0,7.0
コスモポリタンクイーン,,,,,,,,,,,,,母父,13.0,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.23076923076923078,,0.3,0.0,,0.2,,6.615384615384615
コスモマイルール,,,,,,,,,,,,,母父,89.0,0.06741573033707865,0.14606741573033707,0.21348314606741572,0.06741573033707865,,,0.037037037037037035,0.08064516129032258,0.06578947368421052,0.0,6.48314606741573
コスモマクスウェル,,,,,,,,,,,,,母父,57.0,0.07017543859649122,0.08771929824561403,0.17543859649122806,0.09090909090909091,0.041666666666666664,0.1,0.05555555555555555,0.0,0.07317073170731707,0.0,7.614035087719298
コスモマーベラス,,,,,,,,,,,,,母父,50.0,0.2,0.28,0.34,0.23255813953488372,0.0,0.2647058823529412,0.0625,,0.24242424242424243,0.25,6.58
コスモミザール,,,,,,,,,,,,,母父,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.0
コスモミール,,,,,,,,,,,,,母父,47.0,0.0851063829787234,0.1702127659574468,0.23404255319148937,0.08695652173913043,0.0,0.125,0.06451612903225806,,0.07894736842105263,0.0,7.276595744680851
コスモメソッド,,,,,,,,,,,,,母父,14.0,0.0,0.21428571428571427,0.5,0.0,,,0.0,0.0,0.0,,3.9285714285714284
