label,複妙複勝率,捕捉@5,2頭以上,3頭,AUC
base / 確率平均(現行),57.79262086513995,1.98823155216285,74.71374045801527,26.908396946564885,0.7616865766518631
base / 順位平均,57.95165394402035,1.98823155216285,74.80916030534351,26.84478371501272,0.7613867576616206
base / 中央値,57.410941475826974,1.984732824427481,74.74554707379136,26.74936386768448,0.7603442769930159
base / LambdaRank重視,57.665394402035616,1.991412213740458,75.06361323155217,27.003816793893133,0.760938588387553
base / LambdaRank単体,55.88422391857506,1.9621501272264632,73.60050890585241,26.049618320610683,0.7341476941438566
posw1.0 / 確率平均(現行),57.69720101781171,1.9872773536895674,74.74554707379136,26.97201017811705,0.7618014639228483
posw1.0 / 順位平均,57.85623409669212,1.9904580152671756,75.03180661577609,26.8765903307888,0.7614878497969306
posw1.0 / 中央値,57.220101781170484,1.9875954198473282,74.71374045801527,26.908396946564885,0.7604557225424382
posw1.0 / LambdaRank重視,57.665394402035616,1.9945928753180662,75.31806615776081,27.099236641221374,0.761048299736188
posw1.0 / LambdaRank単体,55.88422391857506,1.9621501272264632,73.60050890585241,26.049618320610683,0.7341476941438566
tw3.0 / 確率平均(現行),57.79262086513995,1.98823155216285,74.74554707379136,26.908396946564885,0.7616843480861454
tw3.0 / 順位平均,58.0470737913486,1.9898218829516539,74.87277353689568,26.908396946564885,0.7613813290638617
tw3.0 / 中央値,57.410941475826974,1.98441475826972,74.71374045801527,26.78117048346056,0.7603332911056749
tw3.0 / LambdaRank重視,57.665394402035616,1.9907760814249365,75.03180661577609,26.97201017811705,0.7609378758742883
tw3.0 / LambdaRank単体,55.88422391857506,1.9621501272264632,73.60050890585241,26.049618320610683,0.7341476941438566
leaves127 / 確率平均(現行),57.3791348600509,1.993320610687023,74.77735368956743,27.449109414758272,0.762277187371779
leaves127 / 順位平均,57.76081424936387,1.9952290076335877,75.03180661577609,27.353689567430024,0.7619240852585212
leaves127 / 中央値,57.3791348600509,1.9856870229007633,74.74554707379136,26.717557251908396,0.760461736531051
leaves127 / LambdaRank重視,58.01526717557252,1.9993638676844783,75.12722646310432,27.512722646310433,0.7623980635207772
leaves127 / LambdaRank単体,55.18447837150128,1.979643765903308,74.96819338422391,26.049618320610683,0.7388301398509736
