horse_id,父馬,母父馬,
horse_id,父馬,母父馬,
2016101154,キングカメハメハ,シンメイフジ,
2015101434,エンパイアメーカー,グリーリーレイ,
2015100639,ゴールドアリュール,ロードクロサイト,
2015101191,サウスヴィグラス,スプライトダンス,
2016104340,ゴールドアリュール,レディマールボロ,
2015102046,ロードカナロア,レイズユアグラス,
2015103109,サウスヴィグラス,メイショウヒミコ,
2016104491,エイシンフラッシュ,シャルルヴォア,
2014100344,ナカヤマフェスタ,パイクーニャン,
2014100484,ファスリエフ,トウカイベルタ,
2014105342,ダイワメジャー,エヴィータアルゼンティーナ,
2015101830,プリサイスエンド,カノヤトップレディ,
2014105018,ジョーカプチーノ,クリスビーナス,
2015100799,ロードカナロア,シタール,
2016106080,サウスヴィグラス,モンターニュドール,
2014101770,Tapizar,ブルーグラスチャッター,
2017105072,リアルインパクト,アンティフォナ,
2017102838,ダイワメジャー,スターズアラインド,
2017101367,ジャスタウェイ,ウインアンジェラス,
2017105610,ダイワメジャー,ラドラーダ,
2017100406,ディープインパクト,ヒアトゥウィン,
2017105229,リアルインパクト,ヴァンフレーシュ,
2017105972,エピファネイア,アリデッド,
2017103722,ストロングリターン,ダイヤモンドローズ,
2017103404,ヘニーヒューズ,レモンチャン,
2017110028,Iffraaj,Princess Cammie,
2014106335,ハーツクライ,クレバースプリント,
2016100723,アイルハヴアナザー,マイネアクティース,
2015104417,ロードカナロア,ダンスオンザルーフ,
2015106299,ハーツクライ,ラグジャリー,
2015101636,ストーミングホーム,デザートチル,
2015101376,ディープインパクト,ヒアトゥウィン,
2014105589,キングカメハメハ,トリプレックス,
2013109072,ドリームジャーニー,タムロブライト,
2015105105,ディープインパクト,ロベルタ,
2013102301,ダイワメジャー,ジャズキャット,
2015104895,ルーラーシップ,デグラーティア,
2013102938,マツリダゴッホ,ブライアンハニー,
2015104188,エイシンフラッシュ,ペニーホイッスル,
2013103196,Sea The Stars,ロリーフォードリー,
2016104808,ディープインパクト,ドナブリーニ,
2016104665,ダイワメジャー,リードストーリー,
2016100746,ディープインパクト,マイネヌーヴェル,
2016104720,ルーラーシップ,ウィズザフロウ,
2016103909,ロードカナロア,サンデーローザ,
2014105371,ヴィクトワールピサ,アイアムラヴィング,
2016103345,マンハッタンカフェ,ブリクセン,
2015102127,モンテロッソ,スズカグレイス,
2013105556,ゼンノロブロイ,トップサンキスト,
2016100682,スクリーンヒーロー,キーパップ,
2015104528,ヴィクトワールピサ,ベストロケーション,
2014105635,ディープブリランテ,ピュアティー,
2015101982,ブラックタイド,オペラレディ,
2016101075,ゼンノロブロイ,キングダンサー,
2016103386,ダノンバラード,シギル,
2017102819,トビーズコーナー,クリスタルヴィオレ,
2017104373,ダイワメジャー,エミレーツガール,
2017104766,ハービンジャー,シュテルンターラー,
2017101757,ロードカナロア,プルーフオブラヴ,
2017104760,キンシャサノキセキ,シェリュスドパリ,
2017103037,チェリークラウン,チェリーノコイビト,
2017104396,トーセンブライト,トーセンオーキッド,
2017103112,トーセンジョーダン,チャプレット,
2017102528,ゴールドヘイロー,ロングモニュメント,
2017102841,ディープスカイ,フォーティカラーズ,
2017105752,エスケンデレヤ,エメラルハヤブサ,
2017104820,フェノーメノ,ダークエンディング,
2017110125,デクラレーションオブウォー,Diamante,
2017100919,エスケンデレヤ,アズマガール,
2017102703,ローズキングダム,アルデグロリア,
2017103008,マジェスティックウォリアー,ダイワバーガンディ,
2017102137,トーセンホマレボシ,ショウナンラヴオン,
2017110175,ノーブルミッション,Mayoress,
2017100071,アイルハヴアナザー,レッツグルーヴ,
2017100232,キングヘイロー,クラウンセシリア,
2017101224,ノヴェリスト,アリスマイン,
2017106352,ブリーズフレイバー,カガヤクアイロ,
2017100549,エスケンデレヤ,サワノプリマベーラ,
2017104224,アイルハヴアナザー,イルミナティ,
2017102606,エスケンデレヤ,ニシノブルームーン,
2017104847,マジェスティックウォリアー,ノンコ,
2017104254,マジェスティックウォリアー,オクリモノ,
2017103401,アンライバルド,バトルキクヒメ,
2017102104,ノヴェリスト,ニシノシルエット,
2017110108,アニマルキングダム,La Sombre,
2017103966,キズナ,セイユウスマイル,
2017105481,トーセンジョーダン,ヒアーズトウショウ,
2017102611,カジノドライヴ,フローラルウインド,
2017101799,ダイワメジャー,グローリーブラッド,
2017106491,スマートファルコン,パフュームスター,
2017101312,トランセンド,シャインレジーナ,
2017105342,モンテロッソ,シャンボールフィズ,
2017109090,ジャスタウェイ,ナスノシベリウス,
2017105939,ハーツクライ,ヒラボクフレンチ,
2017106029,ヴァーミリアン,メイショウアレーナ,
2017103198,ヘニーヒューズ,サクセスセレーネ,
2017100078,ローレルゲレイロ,アドマイヤジュエル,
2017106653,リアルインパクト,クールトップレディ,
2017106285,メイショウサムソン,カトルズリップス,
2017101065,タイムパラドックス,フレンチフレイバー,
2017102591,フェノーメノ,アンクレット,
2017101353,ストロングリターン,イヴニングミスト,
2017110174,Emcee,Cowgirl Lucky,
2017102147,ローレルゲレイロ,キセキノショウリ,
2017104952,ディープインパクト,メイキアシー,
2017104499,ブラックタイド,キャントセイワーズ,
2017106232,ルーラーシップ,メロウメロディ,
2017100429,ヘニーヒューズ,モンローライン,
2017104427,トーセンモナーク,トーセンラフィット,
2017102826,プリサイスエンド,カワカミキラリン,
2017105085,エピファネイア,エスプリドパリ,
2017102167,エイシンフラッシュ,キタサンユキ,
2017110087,Cairo Prince,Vintage Red,
2017100405,オルフェーヴル,パッションローズ,
2017102616,ハービンジャー,タイセイハニー,
2017103140,トーセンジョーダン,マリアフィオーレ,
2017106785,カジノドライヴ,メグリ,
2017100049,マツリダゴッホ,マルターズクリス,
2017101902,スクリーンヒーロー,コスモバルバラ,
2017106542,ディープインパクト,キトゥンカブードル,
2017104948,ルーラーシップ,ミラクルワウ,
2017110163,Sebring,Miss With Attitude,
2017103025,ルーラーシップ,ミスエンピリカル,
2017105033,キングカメハメハ,ディラローシェ,
2017105136,ロードカナロア,フーラブライド,
2017100009,トーセンホマレボシ,ダズリングスマイル,
2017104284,ハーツクライ,エリモエクセル,
2017102052,ルーラーシップ,ランデブー,
2017103281,ゴールドシップ,ザッツザウェイ,
2017105718,アーネストリー,ファイヤーオパール,
