name,点数,的中,5年ROI,直近2年点数,直近2年的中,直近2年ROI,CI下,CI上,7分前ROI,影響pt,買うR数,1R点数,y2021,y2022,y2023,y2024,y2025,100超年
H1 荒れR MF勝率1-2位 ワイド,1735,257,91.6,637,99,95.9,75.2,118.2,99.9,4.1,1735,1.0,76.8,88.9,101.7,95.0,96.6,1
H2 荒れR MF勝率1-3位 ワイド,3470,479,86.0,1274,186,84.2,70.8,98.5,86.1,1.8,1735,2.0,64.8,86.4,110.1,83.3,85.1,1
H3 荒れR MF勝率1位 単勝,1735,284,86.0,637,117,98.0,79.2,116.5,96.8,-1.2,1735,1.0,91.4,70.8,75.7,98.8,97.3,0
H4 堅いR MF複勝1位 複勝,8715,5990,86.6,3642,2538,87.4,85.5,89.5,87.4,-0.0,8715,1.0,86.1,84.9,86.9,87.8,86.9,0
H5 堅いR MF複勝1-3位 馬連,17430,2138,78.7,7284,932,79.7,73.7,85.3,79.7,0.0,8715,2.0,71.3,75.8,86.4,83.0,76.3,0
H6 荒れR 勝率1x2 馬単裏 1-10倍,1525,52,110.0,570,18,103.0,47.1,173.0,106.2,3.2,1525,1.0,96.5,103.3,143.0,90.3,115.0,3
H7 荒れR 勝率1x2 馬単裏 1-20倍(現行A),1735,54,100.2,637,20,101.8,54.3,164.0,101.2,-0.6,1735,1.0,81.0,91.1,126.7,82.3,119.6,2
H8 荒れR 勝率1x2 馬単裏 1-40倍,1782,54,97.6,647,20,100.2,50.6,157.8,99.8,-0.5,1782,1.0,78.0,88.1,123.2,81.8,116.8,2
H9 荒れR 勝率1x2 馬単裏 相手も40倍以下,1714,54,101.4,630,20,103.0,52.7,166.5,101.5,-1.5,1714,1.0,82.2,92.0,128.6,83.1,121.1,2
