race_id,馬名,着順_num,予測スコア,予測順位,単勝オッズ,人気,勝ち確率,単勝期待値
202501010101,ハルヒメ,3.0,0.20589390450895106,1.0,4.2,2.0,0.20589390450895106,-0.13524560106240546
202501010101,モズプリフォール,9.0,0.07827675043894383,2.0,5.5,4.0,0.07827675043894383,-0.569477872585809
202501010101,ショウナンカリス,1.0,0.06844087754457266,3.0,4.8,3.0,0.06844087754457266,-0.6714837877860512
202501010101,サンタカリス,7.0,0.049404186171590925,4.0,92.1,11.0,0.049404186171590925,3.5501255464035237
202501010101,ファニーバニー,2.0,0.030242462930340098,5.0,2.4,1.0,0.030242462930340098,-0.9274180889671838
202501010101,ナムラシンジロー,11.0,0.010987917433045525,6.0,41.2,7.0,0.010987917433045525,-0.5472978017585244
202501010101,トーセンクリステル,8.0,0.004544557305042324,7.0,74.4,9.0,0.004544557305042324,-0.6618849365048511
202501010101,オンマイビート,10.0,0.0034004553344182966,8.0,109.3,12.0,0.0034004553344182966,-0.6283302319480801
202501010101,ストームサンダー,6.0,0.0030721139923521597,9.0,10.0,5.0,0.0030721139923521597,-0.9692788600764785
202501010101,セイウンダイフク,12.0,0.0013272232878172982,10.0,36.9,6.0,0.0013272232878172982,-0.9510254606795417
202501010101,カンレイスター,4.0,0.00044078775725899324,11.0,46.9,8.0,0.00044078775725899324,-0.9793270541845532
202501010101,ココソラーレ,5.0,9.955291811802517e-06,12.0,77.1,10.0,9.955291811802517e-06,-0.99923244700131
202501010102,エンジェルラダー,1.0,0.3254038150302772,1.0,1.6,1.0,0.3254038150302772,-0.4793538959515564
202501010102,コッコラーレ,10.0,0.15137227103743944,2.0,4.0,2.0,0.15137227103743944,-0.3945109158502422
202501010102,サツキレジーナ,4.0,0.00949431607757774,3.0,31.6,6.0,0.00949431607757774,-0.6999796119485434
202501010102,ユウグレ,9.0,0.006740427402620058,4.0,35.9,7.0,0.006740427402620058,-0.7580186562459399
202501010102,キャットデイ,7.0,0.006729056298680537,5.0,47.5,10.0,0.006729056298680537,-0.6803698258126745
202501010102,グロリオン,12.0,0.006312938569506288,6.0,46.9,9.0,0.006312938569506288,-0.7039231810901552
202501010102,ラピルスイメル,3.0,0.00331061250377702,7.0,9.9,3.0,0.00331061250377702,-0.9672249362126075
202501010102,タイセイアビリティ,2.0,0.0015153733068041721,8.0,12.0,4.0,0.0015153733068041721,-0.98181552031835
202501010102,レイアポポ,5.0,0.0015152918412418871,9.0,13.2,5.0,0.0015152918412418871,-0.9799981476956071
202501010102,タイセイルーマー,8.0,0.0006346431921492397,10.0,43.8,8.0,0.0006346431921492397,-0.9722026281838633
202501010102,サラサエンペラー,6.0,0.00017687370871209416,11.0,208.3,11.0,0.00017687370871209416,-0.9631572064752708
202501010102,グランヴァルール,11.0,1.2331950829658861e-06,12.0,297.0,12.0,1.2331950829658861e-06,-0.9996337410603592
202501010103,オオタチ,3.0,0.5048152722070455,1.0,3.9,2.0,0.5048152722070455,0.9687795616074772
