券種,レース条件,馬の条件,オッズ,人気,点数,的中,回収率,最悪年,最良年,100%超の年数
単勝,全体,MF複勝2位以内,〜10倍,6番人気以下,163,18,94.0,72.3,117.5,2
複勝,全体,MF複勝2位以内,〜10倍,6番人気以下,163,62,100.2,65.8,145.4,2
単勝,全体,MF複勝2位以内,〜10倍,3番人気以内,24358,6514,81.4,79.8,82.4,0
複勝,全体,MF複勝2位以内,〜10倍,3番人気以内,24358,14310,84.5,83.5,86.4,0
単勝,全体,MF複勝2位以内,〜20倍,人気不問,29369,6974,81.4,79.9,82.2,0
複勝,全体,MF複勝2位以内,〜20倍,人気不問,29369,15935,83.7,82.7,85.0,0
単勝,全体,MF複勝2位以内,〜20倍,4番人気以下,4899,452,81.2,71.8,95.7,0
複勝,全体,MF複勝2位以内,〜20倍,4番人気以下,4899,1577,79.0,77.0,81.2,0
単勝,全体,MF複勝2位以内,〜20倍,6番人気以下,1134,79,88.2,57.1,108.7,1
複勝,全体,MF複勝2位以内,〜20倍,6番人気以下,1134,290,83.8,77.2,95.9,0
単勝,全体,MF複勝2位以内,〜20倍,3番人気以内,24470,6522,81.4,79.7,83.0,0
複勝,全体,MF複勝2位以内,〜20倍,3番人気以内,24470,14358,84.6,83.6,86.5,0
単勝,全体,MF複勝3位以内,〜5倍,人気不問,23846,6786,80.6,78.8,82.0,0
複勝,全体,MF複勝3位以内,〜5倍,人気不問,23846,14652,85.0,83.9,85.7,0
単勝,全体,MF複勝3位以内,〜5倍,3番人気以内,23768,6764,80.4,78.6,82.0,0
複勝,全体,MF複勝3位以内,〜5倍,3番人気以内,23768,14603,84.9,83.9,85.7,0
単勝,全体,MF複勝3位以内,5-10倍,人気不問,13981,1685,78.9,76.7,80.6,0
複勝,全体,MF複勝3位以内,5-10倍,人気不問,13981,5430,78.8,77.8,79.6,0
単勝,全体,MF複勝3位以内,5-10倍,4番人気以下,5787,599,77.2,69.3,86.4,0
複勝,全体,MF複勝3位以内,5-10倍,4番人気以下,5787,2043,76.8,73.7,81.6,0
単勝,全体,MF複勝3位以内,5-10倍,6番人気以下,291,27,78.7,31.8,111.8,1
複勝,全体,MF複勝3位以内,5-10倍,6番人気以下,291,100,90.4,76.3,109.3,2
単勝,全体,MF複勝3位以内,5-10倍,3番人気以内,8194,1086,80.0,70.1,83.8,0
複勝,全体,MF複勝3位以内,5-10倍,3番人気以内,8194,3387,80.1,76.9,82.8,0
単勝,全体,MF複勝3位以内,10-20倍,人気不問,5227,326,82.3,67.7,92.0,0
