券種,レース条件,馬の条件,オッズ,人気,点数,的中,回収率,最悪年,最良年,100%超の年数
単勝,芝,MF複勝5位以内,〜10倍,6番人気以下,317,26,70.3,40.8,110.5,1
複勝,芝,MF複勝5位以内,〜10倍,6番人気以下,317,93,78.5,34.4,107.8,2
単勝,芝,MF複勝5位以内,〜10倍,3番人気以内,20265,4667,80.2,79.0,82.2,0
複勝,芝,MF複勝5位以内,〜10倍,3番人気以内,20265,10977,82.3,81.9,82.8,0
単勝,芝,MF複勝5位以内,〜20倍,人気不問,33704,5768,80.9,79.0,83.1,0
複勝,芝,MF複勝5位以内,〜20倍,人気不問,33704,15010,80.9,80.4,82.1,0
単勝,芝,MF複勝5位以内,〜20倍,4番人気以下,13171,1087,82.3,77.7,89.9,0
複勝,芝,MF複勝5位以内,〜20倍,4番人気以下,13171,3940,78.2,76.6,81.7,0
単勝,芝,MF複勝5位以内,〜20倍,6番人気以下,3889,233,83.4,79.0,91.2,0
複勝,芝,MF複勝5位以内,〜20倍,6番人気以下,3889,872,76.6,72.2,81.6,0
単勝,芝,MF複勝5位以内,〜20倍,3番人気以内,20533,4681,80.0,78.6,81.4,0
複勝,芝,MF複勝5位以内,〜20倍,3番人気以内,20533,11070,82.6,82.3,83.0,0
単勝,ダート,MF複勝1位,〜5倍,人気不問,5940,1981,82.9,78.1,86.9,0
複勝,ダート,MF複勝1位,〜5倍,人気不問,5940,3864,85.6,83.8,88.2,0
単勝,ダート,MF複勝1位,〜5倍,3番人気以内,5932,1978,82.8,78.2,86.5,0
複勝,ダート,MF複勝1位,〜5倍,3番人気以内,5932,3858,85.5,83.7,88.2,0
単勝,ダート,MF複勝1位,5-10倍,人気不問,1130,133,73.6,56.1,88.5,0
複勝,ダート,MF複勝1位,5-10倍,人気不問,1130,448,81.4,75.3,90.0,0
単勝,ダート,MF複勝1位,5-10倍,4番人気以下,462,48,75.0,43.6,105.0,1
複勝,ダート,MF複勝1位,5-10倍,4番人気以下,462,160,77.1,68.3,93.8,0
単勝,ダート,MF複勝1位,5-10倍,3番人気以内,668,85,72.6,55.6,95.1,0
複勝,ダート,MF複勝1位,5-10倍,3番人気以内,668,288,84.4,77.0,97.9,0
単勝,ダート,MF複勝1位,10-20倍,人気不問,216,14,77.4,32.8,140.0,2
複勝,ダート,MF複勝1位,10-20倍,人気不問,216,63,87.7,69.8,109.0,1
単勝,ダート,MF複勝1位,10-20倍,4番人気以下,211,14,79.2,33.7,144.7,2
複勝,ダート,MF複勝1位,10-20倍,4番人気以下,211,62,88.8,71.2,106.3,2
単勝,ダート,MF複勝1位,〜10倍,人気不問,7070,2114,81.4,78.1,85.3,0
複勝,ダート,MF複勝1位,〜10倍,人気不問,7070,4312,84.9,83.6,86.4,0
単勝,ダート,MF複勝1位,〜10倍,4番人気以下,470,51,76.8,47.5,108.7,1
複勝,ダート,MF複勝1位,〜10倍,4番人気以下,470,166,77.9,68.9,94.3,0
単勝,ダート,MF複勝1位,〜10倍,3番人気以内,6600,2063,81.7,77.4,84.4,0
複勝,ダート,MF複勝1位,〜10倍,3番人気以内,6600,4146,85.4,83.5,87.1,0
単勝,ダート,MF複勝1位,〜20倍,人気不問,7286,2128,81.3,79.2,84.7,0
複勝,ダート,MF複勝1位,〜20倍,人気不問,7286,4375,85.0,83.1,87.0,0
単勝,ダート,MF複勝1位,〜20倍,4番人気以下,681,65,77.5,49.3,103.1,1
複勝,ダート,MF複勝1位,〜20倍,4番人気以下,681,228,81.3,69.7,97.1,0
単勝,ダート,MF複勝1位,〜20倍,6番人気以下,163,12,82.4,0.0,198.2,2
複勝,ダート,MF複勝1位,〜20倍,6番人気以下,163,50,95.8,75.2,114.2,2
単勝,ダート,MF複勝1位,〜20倍,3番人気以内,6605,2063,81.7,77.3,84.4,0
複勝,ダート,MF複勝1位,〜20倍,3番人気以内,6605,4147,85.4,83.4,87.2,0
単勝,ダート,MF複勝2位以内,〜5倍,人気不問,9644,2892,81.5,78.8,87.3,0
複勝,ダート,MF複勝2位以内,〜5倍,人気不問,9644,6021,85.5,84.2,86.3,0
単勝,ダート,MF複勝2位以内,〜5倍,3番人気以内,9622,2887,81.5,78.7,87.0,0
複勝,ダート,MF複勝2位以内,〜5倍,3番人気以内,9622,6005,85.4,84.2,86.2,0
単勝,ダート,MF複勝2位以内,5-10倍,人気不問,3738,454,78.7,74.7,84.3,0
複勝,ダート,MF複勝2位以内,5-10倍,人気不問,3738,1528,81.8,76.3,87.7,0
単勝,ダート,MF複勝2位以内,5-10倍,4番人気以下,1458,170,86.0,73.8,97.1,0
複勝,ダート,MF複勝2位以内,5-10倍,4番人気以下,1458,523,78.3,75.0,81.4,0
単勝,ダート,MF複勝2位以内,5-10倍,3番人気以内,2280,284,74.1,62.8,79.7,0
複勝,ダート,MF複勝2位以内,5-10倍,3番人気以内,2280,1005,84.1,76.8,93.9,0
単勝,ダート,MF複勝2位以内,10-20倍,人気不問,1023,60,74.2,58.2,88.2,0
複勝,ダート,MF複勝2位以内,10-20倍,人気不問,1023,276,80.4,73.1,83.4,0
単勝,ダート,MF複勝2位以内,10-20倍,4番人気以下,958,57,74.6,53.6,93.2,0
複勝,ダート,MF複勝2位以内,10-20倍,4番人気以下,958,249,79.2,69.9,82.4,0
単勝,ダート,MF複勝2位以内,10-20倍,6番人気以下,493,28,75.8,17.6,107.7,3
複勝,ダート,MF複勝2位以内,10-20倍,6番人気以下,493,119,79.7,46.1,88.0,0
単勝,ダート,MF複勝2位以内,20-50倍,人気不問,259,10,106.0,0.0,191.7,3
複勝,ダート,MF複勝2位以内,20-50倍,人気不問,259,42,89.3,71.6,121.4,1
単勝,ダート,MF複勝2位以内,20-50倍,4番人気以下,258,10,106.4,0.0,191.7,3
複勝,ダート,MF複勝2位以内,20-50倍,4番人気以下,258,41,89.1,69.5,121.4,1
単勝,ダート,MF複勝2位以内,20-50倍,6番人気以下,241,9,105.6,0.0,191.7,2
複勝,ダート,MF複勝2位以内,20-50倍,6番人気以下,241,37,87.8,65.8,121.4,1
単勝,ダート,MF複勝2位以内,〜10倍,人気不問,13382,3346,80.8,78.4,85.4,0
複勝,ダート,MF複勝2位以内,〜10倍,人気不問,13382,7549,84.5,83.4,86.6,0
単勝,ダート,MF複勝2位以内,〜10倍,4番人気以下,1480,175,86.4,74.3,96.1,0
複勝,ダート,MF複勝2位以内,〜10倍,4番人気以下,1480,539,78.9,75.3,82.1,0
単勝,ダート,MF複勝2位以内,〜10倍,3番人気以内,11902,3171,80.1,76.4,84.6,0
複勝,ダート,MF複勝2位以内,〜10倍,3番人気以内,11902,7010,85.1,84.0,87.5,0
単勝,ダート,MF複勝2位以内,〜20倍,人気不問,14405,3406,80.3,78.4,83.1,0
複勝,ダート,MF複勝2位以内,〜20倍,人気不問,14405,7825,84.2,83.2,85.7,0
単勝,ダート,MF複勝2位以内,〜20倍,4番人気以下,2438,232,81.7,72.7,94.8,0
複勝,ダート,MF複勝2位以内,〜20倍,4番人気以下,2438,788,79.0,75.8,81.9,0
単勝,ダート,MF複勝2位以内,〜20倍,6番人気以下,570,39,82.1,22.2,118.6,2
複勝,ダート,MF複勝2位以内,〜20倍,6番人気以下,570,150,83.0,53.6,92.6,0
単勝,ダート,MF複勝2位以内,〜20倍,3番人気以内,11967,3174,80.0,76.1,84.9,0
複勝,ダート,MF複勝2位以内,〜20倍,3番人気以内,11967,7037,85.2,83.9,87.6,0
単勝,ダート,MF複勝3位以内,〜5倍,人気不問,11603,3331,80.9,78.3,84.2,0
複勝,ダート,MF複勝3位以内,〜5倍,人気不問,11603,7129,85.7,84.2,87.2,0
単勝,ダート,MF複勝3位以内,〜5倍,3番人気以内,11570,3322,80.8,78.2,83.8,0
複勝,ダート,MF複勝3位以内,〜5倍,3番人気以内,11570,7107,85.6,84.2,87.1,0
単勝,ダート,MF複勝3位以内,5-10倍,人気不問,6799,800,77.7,75.6,80.6,0
複勝,ダート,MF複勝3位以内,5-10倍,人気不問,6799,2664,79.4,77.4,81.7,0
単勝,ダート,MF複勝3位以内,5-10倍,4番人気以下,2846,297,77.7,70.3,93.8,0
複勝,ダート,MF複勝3位以内,5-10倍,4番人気以下,2846,988,75.5,70.9,81.9,0
単勝,ダート,MF複勝3位以内,5-10倍,3番人気以内,3953,503,77.6,66.9,84.4,0
複勝,ダート,MF複勝3位以内,5-10倍,3番人気以内,3953,1676,82.2,78.9,87.7,0
単勝,ダート,MF複勝3位以内,10-20倍,人気不問,2687,154,74.3,55.4,87.7,0
複勝,ダート,MF複勝3位以内,10-20倍,人気不問,2687,702,79.5,77.1,82.4,0
単勝,ダート,MF複勝3位以内,10-20倍,4番人気以下,2511,142,73.6,53.0,90.0,0
複勝,ダート,MF複勝3位以内,10-20倍,4番人気以下,2511,641,79.0,73.9,82.5,0
単勝,ダート,MF複勝3位以内,10-20倍,6番人気以下,1200,68,79.2,55.0,108.9,1
複勝,ダート,MF複勝3位以内,10-20倍,6番人気以下,1200,269,76.7,66.7,83.5,0
単勝,ダート,MF複勝3位以内,10-20倍,3番人気以内,176,12,83.3,37.0,127.8,2
複勝,ダート,MF複勝3位以内,10-20倍,3番人気以内,176,61,87.8,56.3,109.8,1
単勝,ダート,MF複勝3位以内,20-50倍,人気不問,844,31,94.1,50.3,131.4,2
複勝,ダート,MF複勝3位以内,20-50倍,人気不問,844,144,88.9,62.3,103.4,1
単勝,ダート,MF複勝3位以内,20-50倍,4番人気以下,842,31,94.3,50.3,131.4,2
複勝,ダート,MF複勝3位以内,20-50倍,4番人気以下,842,143,88.9,62.3,103.4,1
単勝,ダート,MF複勝3位以内,20-50倍,6番人気以下,762,29,98.9,57.2,137.2,2
複勝,ダート,MF複勝3位以内,20-50倍,6番人気以下,762,128,89.9,63.5,107.9,1
単勝,ダート,MF複勝3位以内,〜10倍,人気不問,18402,4131,79.7,78.1,81.9,0
複勝,ダート,MF複勝3位以内,〜10倍,人気不問,18402,9793,83.4,81.7,84.4,0
単勝,ダート,MF複勝3位以内,〜10倍,4番人気以下,2879,306,78.3,70.9,93.7,0
複勝,ダート,MF複勝3位以内,〜10倍,4番人気以下,2879,1010,75.9,70.9,82.4,0
単勝,ダート,MF複勝3位以内,〜10倍,3番人気以内,15523,3825,80.0,76.3,83.1,0
複勝,ダート,MF複勝3位以内,〜10倍,3番人気以内,15523,8783,84.8,83.6,86.3,0
単勝,ダート,MF複勝3位以内,〜20倍,人気不問,21089,4285,79.0,76.8,80.5,0
複勝,ダート,MF複勝3位以内,〜20倍,人気不問,21089,10495,82.9,81.8,83.6,0
単勝,ダート,MF複勝3位以内,〜20倍,4番人気以下,5390,448,76.1,65.2,90.0,0
複勝,ダート,MF複勝3位以内,〜20倍,4番人気以下,5390,1651,77.3,73.8,82.0,0
単勝,ダート,MF複勝3位以内,〜20倍,6番人気以下,1344,84,80.8,55.7,114.5,2
複勝,ダート,MF複勝3位以内,〜20倍,6番人気以下,1344,320,78.4,68.0,84.0,0
単勝,ダート,MF複勝3位以内,〜20倍,3番人気以内,15699,3837,80.0,76.0,83.3,0
複勝,ダート,MF複勝3位以内,〜20倍,3番人気以内,15699,8844,84.8,83.3,86.7,0
単勝,ダート,MF複勝5位以内,〜5倍,人気不問,13349,3736,81.7,78.8,84.8,0
複勝,ダート,MF複勝5位以内,〜5倍,人気不問,13349,8047,85.5,84.3,86.3,0
単勝,ダート,MF複勝5位以内,〜5倍,3番人気以内,13294,3724,81.6,78.9,84.4,0
複勝,ダート,MF複勝5位以内,〜5倍,3番人気以内,13294,8012,85.4,84.2,86.2,0
単勝,ダート,MF複勝5位以内,5-10倍,人気不問,11573,1310,76.6,72.9,78.9,0
複勝,ダート,MF複勝5位以内,5-10倍,人気不問,11573,4420,79.8,76.6,82.1,0
単勝,ダート,MF複勝5位以内,5-10倍,4番人気以下,5613,571,76.7,70.0,83.7,0
複勝,ダート,MF複勝5位以内,5-10倍,4番人気以下,5613,1945,76.7,72.7,78.3,0
単勝,ダート,MF複勝5位以内,5-10倍,6番人気以下,319,36,97.6,51.4,218.0,1
複勝,ダート,MF複勝5位以内,5-10倍,6番人気以下,319,106,85.5,59.3,124.5,1
単勝,ダート,MF複勝5位以内,5-10倍,3番人気以内,5960,739,76.4,68.6,81.6,0
複勝,ダート,MF複勝5位以内,5-10倍,3番人気以内,5960,2475,82.6,80.3,86.2,0
単勝,ダート,MF複勝5位以内,10-20倍,人気不問,7312,444,81.3,67.1,98.4,0
複勝,ダート,MF複勝5位以内,10-20倍,人気不問,7312,1855,80.1,77.4,85.1,0
単勝,ダート,MF複勝5位以内,10-20倍,4番人気以下,6997,422,81.2,66.4,99.0,0
複勝,ダート,MF複勝5位以内,10-20倍,4番人気以下,6997,1742,79.3,76.2,84.4,0
単勝,ダート,MF複勝5位以内,10-20倍,6番人気以下,3427,201,85.4,68.8,109.7,1
複勝,ダート,MF複勝5位以内,10-20倍,6番人気以下,3427,773,79.5,72.1,84.5,0
単勝,ダート,MF複勝5位以内,10-20倍,3番人気以内,315,22,82.5,46.8,122.2,1
複勝,ダート,MF複勝5位以内,10-20倍,3番人気以内,315,113,99.6,88.1,108.4,3
単勝,ダート,MF複勝5位以内,20-50倍,人気不問,3719,109,81.8,67.0,96.7,0
複勝,ダート,MF複勝5位以内,20-50倍,人気不問,3719,556,76.8,66.9,87.4,0
単勝,ダート,MF複勝5位以内,20-50倍,4番人気以下,3708,109,82.1,67.0,97.1,0
複勝,ダート,MF複勝5位以内,20-50倍,4番人気以下,3708,553,76.9,66.8,87.6,0
単勝,ダート,MF複勝5位以内,20-50倍,6番人気以下,3323,99,84.9,67.6,106.7,2
複勝,ダート,MF複勝5位以内,20-50倍,6番人気以下,3323,478,77.5,68.2,87.0,0
単勝,ダート,MF複勝5位以内,〜10倍,人気不問,24922,5046,79.3,77.5,81.8,0
複勝,ダート,MF複勝5位以内,〜10倍,人気不問,24922,12467,82.8,81.8,83.7,0
単勝,ダート,MF複勝5位以内,〜10倍,4番人気以下,5668,583,77.0,70.0,83.5,0
複勝,ダート,MF複勝5位以内,〜10倍,4番人気以下,5668,1980,76.9,73.1,78.5,0
単勝,ダート,MF複勝5位以内,〜10倍,6番人気以下,319,36,97.6,51.4,218.0,1
複勝,ダート,MF複勝5位以内,〜10倍,6番人気以下,319,106,85.5,59.3,124.5,1
単勝,ダート,MF複勝5位以内,〜10倍,3番人気以内,19254,4463,80.0,75.8,83.5,0
複勝,ダート,MF複勝5位以内,〜10倍,3番人気以内,19254,10487,84.5,83.0,85.6,0
単勝,ダート,MF複勝5位以内,〜20倍,人気不問,32234,5490,79.8,75.8,82.2,0
複勝,ダート,MF複勝5位以内,〜20倍,人気不問,32234,14322,82.2,80.8,83.0,0
単勝,ダート,MF複勝5位以内,〜20倍,4番人気以下,12665,1005,79.3,68.0,92.0,0
複勝,ダート,MF複勝5位以内,〜20倍,4番人気以下,12665,3722,78.2,75.1,81.8,0
単勝,ダート,MF複勝5位以内,〜20倍,6番人気以下,3746,237,86.4,67.2,107.1,2
複勝,ダート,MF複勝5位以内,〜20倍,6番人気以下,3746,879,80.1,74.2,87.6,0
単勝,ダート,MF複勝5位以内,〜20倍,3番人気以内,19569,4485,80.1,75.9,84.1,0
複勝,ダート,MF複勝5位以内,〜20倍,3番人気以内,19569,10600,84.8,83.3,85.8,0
単勝,長距離2100+,MF複勝1位,〜5倍,人気不問,1298,467,89.8,70.4,112.1,1
複勝,長距離2100+,MF複勝1位,〜5倍,人気不問,1298,889,89.1,85.9,94.5,0
単勝,長距離2100+,MF複勝1位,〜5倍,3番人気以内,1296,467,89.9,70.9,112.1,1
複勝,長距離2100+,MF複勝1位,〜5倍,3番人気以内,1296,888,89.1,85.9,94.5,0
単勝,長距離2100+,MF複勝1位,5-10倍,人気不問,244,23,56.6,30.8,79.3,0
複勝,長距離2100+,MF複勝1位,5-10倍,人気不問,244,110,94.1,66.5,111.0,3
単勝,長距離2100+,MF複勝1位,〜10倍,人気不問,1542,490,84.5,67.5,106.3,1
複勝,長距離2100+,MF複勝1位,〜10倍,人気不問,1542,999,89.9,84.0,96.7,0
単勝,長距離2100+,MF複勝1位,〜10倍,3番人気以内,1437,481,86.4,70.3,106.3,1
複勝,長距離2100+,MF複勝1位,〜10倍,3番人気以内,1437,951,88.9,86.8,94.1,0
単勝,長距離2100+,MF複勝1位,〜20倍,人気不問,1588,497,87.8,65.4,118.3,1
複勝,長距離2100+,MF複勝1位,〜20倍,人気不問,1588,1017,90.9,85.9,98.0,0
単勝,長距離2100+,MF複勝1位,〜20倍,4番人気以下,151,16,101.7,29.2,205.8,2
複勝,長距離2100+,MF複勝1位,〜20倍,4番人気以下,151,66,109.3,79.5,128.8,3
単勝,長距離2100+,MF複勝1位,〜20倍,3番人気以内,1437,481,86.4,70.3,106.3,1
複勝,長距離2100+,MF複勝1位,〜20倍,3番人気以内,1437,951,88.9,86.8,94.1,0
単勝,長距離2100+,MF複勝2位以内,〜5倍,人気不問,2149,686,86.0,75.3,98.9,0
複勝,長距離2100+,MF複勝2位以内,〜5倍,人気不問,2149,1413,87.9,83.8,92.6,0
単勝,長距離2100+,MF複勝2位以内,〜5倍,3番人気以内,2145,686,86.1,75.9,98.9,0
複勝,長距離2100+,MF複勝2位以内,〜5倍,3番人気以内,2145,1412,88.0,83.8,92.6,0
単勝,長距離2100+,MF複勝2位以内,5-10倍,人気不問,801,83,64.1,53.2,73.7,0
複勝,長距離2100+,MF複勝2位以内,5-10倍,人気不問,801,328,83.0,79.3,90.1,0
単勝,長距離2100+,MF複勝2位以内,5-10倍,4番人気以下,317,28,63.4,46.6,83.6,0
複勝,長距離2100+,MF複勝2位以内,5-10倍,4番人気以下,317,126,89.0,78.7,102.3,1
単勝,長距離2100+,MF複勝2位以内,5-10倍,3番人気以内,484,55,64.6,37.7,81.8,0
複勝,長距離2100+,MF複勝2位以内,5-10倍,3番人気以内,484,202,79.0,65.1,91.0,0
単勝,長距離2100+,MF複勝2位以内,10-20倍,人気不問,188,14,100.5,34.7,179.8,2
複勝,長距離2100+,MF複勝2位以内,10-20倍,人気不問,188,58,95.5,76.8,113.1,1
単勝,長距離2100+,MF複勝2位以内,10-20倍,4番人気以下,182,14,103.8,34.7,183.3,2
複勝,長距離2100+,MF複勝2位以内,10-20倍,4番人気以下,182,56,93.3,78.9,108.8,1
単勝,長距離2100+,MF複勝2位以内,〜10倍,人気不問,2950,769,80.1,72.3,92.6,0
複勝,長距離2100+,MF複勝2位以内,〜10倍,人気不問,2950,1741,86.6,84.1,90.1,0
単勝,長距離2100+,MF複勝2位以内,〜10倍,4番人気以下,321,28,62.6,45.0,83.6,0
複勝,長距離2100+,MF複勝2位以内,〜10倍,4番人気以下,321,127,88.4,77.7,102.3,1
単勝,長距離2100+,MF複勝2位以内,〜10倍,3番人気以内,2629,741,82.2,76.9,95.7,0
複勝,長距離2100+,MF複勝2位以内,〜10倍,3番人気以内,2629,1614,86.3,84.9,89.9,0
単勝,長距離2100+,MF複勝2位以内,〜20倍,人気不問,3138,783,81.3,71.1,90.8,0
複勝,長距離2100+,MF複勝2位以内,〜20倍,人気不問,3138,1799,87.1,84.8,89.3,0
単勝,長距離2100+,MF複勝2位以内,〜20倍,4番人気以下,503,42,77.5,47.2,126.8,1
複勝,長距離2100+,MF複勝2位以内,〜20倍,4番人気以下,503,183,90.2,79.5,105.2,1
単勝,長距離2100+,MF複勝2位以内,〜20倍,3番人気以内,2635,741,82.0,76.6,95.5,0
複勝,長距離2100+,MF複勝2位以内,〜20倍,3番人気以内,2635,1616,86.5,85.1,89.7,0
単勝,長距離2100+,MF複勝3位以内,〜5倍,人気不問,2625,794,84.3,78.9,96.6,0
複勝,長距離2100+,MF複勝3位以内,〜5倍,人気不問,2625,1686,87.0,85.5,89.3,0
単勝,長距離2100+,MF複勝3位以内,〜5倍,3番人気以内,2618,794,84.5,79.3,97.0,0
複勝,長距離2100+,MF複勝3位以内,〜5倍,3番人気以内,2618,1684,87.1,85.3,89.6,0
単勝,長距離2100+,MF複勝3位以内,5-10倍,人気不問,1479,173,75.5,71.3,82.8,0
複勝,長距離2100+,MF複勝3位以内,5-10倍,人気不問,1479,602,82.5,74.4,87.5,0
単勝,長距離2100+,MF複勝3位以内,5-10倍,4番人気以下,616,63,75.6,67.2,93.6,0
複勝,長距離2100+,MF複勝3位以内,5-10倍,4番人気以下,616,236,85.0,82.2,90.9,0
単勝,長距離2100+,MF複勝3位以内,5-10倍,3番人気以内,863,110,75.4,63.6,87.2,0
複勝,長距離2100+,MF複勝3位以内,5-10倍,3番人気以内,863,366,80.8,69.0,89.1,0
単勝,長距離2100+,MF複勝3位以内,10-20倍,人気不問,505,35,93.3,36.7,130.5,2
複勝,長距離2100+,MF複勝3位以内,10-20倍,人気不問,505,137,82.7,73.2,90.8,0
単勝,長距離2100+,MF複勝3位以内,10-20倍,4番人気以下,480,33,93.9,37.1,127.0,3
複勝,長距離2100+,MF複勝3位以内,10-20倍,4番人気以下,480,127,78.6,69.8,84.8,0
単勝,長距離2100+,MF複勝3位以内,10-20倍,6番人気以下,210,16,109.6,29.1,163.6,3
複勝,長距離2100+,MF複勝3位以内,10-20倍,6番人気以下,210,50,76.5,61.8,89.1,0
単勝,長距離2100+,MF複勝3位以内,20-50倍,人気不問,151,2,35.4,0.0,109.2,1
複勝,長距離2100+,MF複勝3位以内,20-50倍,人気不問,151,20,59.5,13.9,143.5,1
単勝,長距離2100+,MF複勝3位以内,20-50倍,4番人気以下,150,2,35.7,0.0,109.2,1
複勝,長距離2100+,MF複勝3位以内,20-50倍,4番人気以下,150,20,59.9,13.9,149.2,1
単勝,長距離2100+,MF複勝3位以内,〜10倍,人気不問,4104,967,81.1,76.0,89.7,0
複勝,長距離2100+,MF複勝3位以内,〜10倍,人気不問,4104,2288,85.4,81.6,87.6,0
単勝,長距離2100+,MF複勝3位以内,〜10倍,4番人気以下,623,63,74.8,65.8,92.8,0
複勝,長距離2100+,MF複勝3位以内,〜10倍,4番人気以下,623,238,84.5,82.5,89.3,0
単勝,長距離2100+,MF複勝3位以内,〜10倍,3番人気以内,3481,904,82.3,76.8,93.3,0
複勝,長距離2100+,MF複勝3位以内,〜10倍,3番人気以内,3481,2050,85.6,81.4,88.2,0
単勝,長距離2100+,MF複勝3位以内,〜20倍,人気不問,4609,1002,82.5,76.9,91.9,0
複勝,長距離2100+,MF複勝3位以内,〜20倍,人気不問,4609,2425,85.1,82.7,86.9,0
単勝,長距離2100+,MF複勝3位以内,〜20倍,4番人気以下,1103,96,83.1,60.0,108.6,1
複勝,長距離2100+,MF複勝3位以内,〜20倍,4番人気以下,1103,365,81.9,78.2,85.7,0
単勝,長距離2100+,MF複勝3位以内,〜20倍,6番人気以下,239,17,99.8,43.3,144.0,3
複勝,長距離2100+,MF複勝3位以内,〜20倍,6番人気以下,239,63,82.1,71.6,95.4,0
単勝,長距離2100+,MF複勝3位以内,〜20倍,3番人気以内,3506,906,82.3,77.7,92.1,0
複勝,長距離2100+,MF複勝3位以内,〜20倍,3番人気以内,3506,2060,86.1,82.3,87.9,0
単勝,長距離2100+,MF複勝5位以内,〜5倍,人気不問,3001,869,82.9,79.5,90.0,0
複勝,長距離2100+,MF複勝5位以内,〜5倍,人気不問,3001,1886,86.4,85.2,89.3,0
単勝,長距離2100+,MF複勝5位以内,〜5倍,3番人気以内,2987,868,83.1,79.7,90.5,0
複勝,長距離2100+,MF複勝5位以内,〜5倍,3番人気以内,2987,1881,86.5,85.5,89.5,0
単勝,長距離2100+,MF複勝5位以内,5-10倍,人気不問,2563,288,76.3,63.6,85.7,0
複勝,長距離2100+,MF複勝5位以内,5-10倍,人気不問,2563,996,80.1,72.1,82.7,0
単勝,長距離2100+,MF複勝5位以内,5-10倍,4番人気以下,1277,131,77.6,58.1,89.8,0
複勝,長距離2100+,MF複勝5位以内,5-10倍,4番人気以下,1277,457,79.5,75.4,83.6,0
単勝,長距離2100+,MF複勝5位以内,5-10倍,3番人気以内,1286,157,74.9,61.4,88.4,0
複勝,長距離2100+,MF複勝5位以内,5-10倍,3番人気以内,1286,539,80.6,68.9,87.6,0
単勝,長距離2100+,MF複勝5位以内,10-20倍,人気不問,1523,103,93.9,72.8,115.9,2
複勝,長距離2100+,MF複勝5位以内,10-20倍,人気不問,1523,400,80.8,76.9,87.3,0
単勝,長距離2100+,MF複勝5位以内,10-20倍,4番人気以下,1468,100,95.2,75.3,115.5,2
複勝,長距離2100+,MF複勝5位以内,10-20倍,4番人気以下,1468,380,79.0,74.2,85.2,0
単勝,長距離2100+,MF複勝5位以内,10-20倍,6番人気以下,705,50,107.3,53.3,179.3,3
複勝,長距離2100+,MF複勝5位以内,10-20倍,6番人気以下,705,160,77.7,64.7,90.6,0
単勝,長距離2100+,MF複勝5位以内,20-50倍,人気不問,753,19,73.9,54.8,87.5,0
複勝,長距離2100+,MF複勝5位以内,20-50倍,人気不問,753,113,77.4,66.3,96.2,0
単勝,長距離2100+,MF複勝5位以内,20-50倍,4番人気以下,752,19,74.0,54.8,87.5,0
複勝,長距離2100+,MF複勝5位以内,20-50倍,4番人気以下,752,113,77.5,66.3,96.9,0
単勝,長距離2100+,MF複勝5位以内,20-50倍,6番人気以下,664,18,80.5,59.7,96.6,0
複勝,長距離2100+,MF複勝5位以内,20-50倍,6番人気以下,664,92,74.9,63.6,94.7,0
単勝,長距離2100+,MF複勝5位以内,〜10倍,人気不問,5564,1157,79.8,75.0,84.8,0
複勝,長距離2100+,MF複勝5位以内,〜10倍,人気不問,5564,2882,83.5,81.6,84.2,0
単勝,長距離2100+,MF複勝5位以内,〜10倍,4番人気以下,1291,132,77.1,57.4,90.4,0
複勝,長距離2100+,MF複勝5位以内,〜10倍,4番人気以下,1291,462,79.2,75.1,83.5,0
単勝,長距離2100+,MF複勝5位以内,〜10倍,3番人気以内,4273,1025,80.7,74.5,84.1,0
複勝,長距離2100+,MF複勝5位以内,〜10倍,3番人気以内,4273,2420,84.8,83.4,86.4,0
単勝,長距離2100+,MF複勝5位以内,〜20倍,人気不問,7087,1260,82.9,79.4,85.2,0
複勝,長距離2100+,MF複勝5位以内,〜20倍,人気不問,7087,3282,82.9,80.7,84.7,0
単勝,長距離2100+,MF複勝5位以内,〜20倍,4番人気以下,2759,232,86.8,76.2,96.8,0
複勝,長距離2100+,MF複勝5位以内,〜20倍,4番人気以下,2759,842,79.1,74.6,84.1,0
単勝,長距離2100+,MF複勝5位以内,〜20倍,6番人気以下,780,57,104.8,64.8,177.5,2
複勝,長距離2100+,MF複勝5位以内,〜20倍,6番人気以下,780,187,79.5,66.6,95.6,0
単勝,長距離2100+,MF複勝5位以内,〜20倍,3番人気以内,4328,1028,80.4,75.0,84.2,0
複勝,長距離2100+,MF複勝5位以内,〜20倍,3番人気以内,4328,2440,85.3,84.0,87.0,0
単勝,短距離-1400,MF複勝1位,〜5倍,人気不問,4129,1306,81.5,75.3,87.8,0
複勝,短距離-1400,MF複勝1位,〜5倍,人気不問,4129,2582,84.3,78.8,90.3,0
単勝,短距離-1400,MF複勝1位,〜5倍,3番人気以内,4118,1305,81.6,75.6,88.0,0
複勝,短距離-1400,MF複勝1位,〜5倍,3番人気以内,4118,2574,84.2,78.6,90.3,0
単勝,短距離-1400,MF複勝1位,5-10倍,人気不問,979,121,76.8,68.6,96.9,0
複勝,短距離-1400,MF複勝1位,5-10倍,人気不問,979,362,77.8,72.4,87.0,0
単勝,短距離-1400,MF複勝1位,5-10倍,4番人気以下,388,39,71.4,57.3,81.5,0
複勝,短距離-1400,MF複勝1位,5-10倍,4番人気以下,388,134,77.2,64.0,97.3,0
単勝,短距離-1400,MF複勝1位,5-10倍,3番人気以内,591,82,80.4,60.2,112.7,1
