race_id,馬名,着順_num,予測スコア,予測順位,単勝オッズ,人気
202501010106,テンフレッシュ,6.0,0.15089571116051392,7.0,17.7,7.0
202501010106,レディオンステージ,13.0,0.0991473662745532,8.0,47.1,10.0
202501010106,ゴールドサニーデイ,7.0,0.09762680003668299,9.0,46.2,9.0
202501010106,タイキクロニクル,8.0,0.09332109318885867,10.0,42.6,8.0
202501010106,フィエールガール,10.0,0.05236973164161657,11.0,70.2,11.0
202501010106,オースミストロング,11.0,0.04158437637453403,12.0,163.1,12.0
202501010106,セブンスプリングス,12.0,0.021872333390887608,13.0,171.2,13.0
202501010107,ハイファイスピード,2.0,0.5962306386154144,1.0,3.4,2.0
202501010107,ラセーヌシュメール,1.0,0.5869541789269116,2.0,2.8,1.0
202501010107,テンペストヒロイン,8.0,0.3794927145427136,3.0,3.9,3.0
202501010107,ジャグアール,3.0,0.37049810131089533,4.0,8.0,4.0
202501010107,イリュージョン,5.0,0.3258166112368632,5.0,9.7,5.0
202501010107,カルミネイション,7.0,0.2580256948818873,6.0,17.0,6.0
202501010107,メラヴィリオーザ,6.0,0.11239396306236833,7.0,20.2,7.0
202501010107,シャインズオンユー,4.0,0.10243002060041956,8.0,56.8,8.0
202501010108,キングスコール,2.0,0.7081823613440806,1.0,1.2,1.0
202501010108,マイネルフーガ,3.0,0.6706624788521801,2.0,4.8,2.0
202501010108,ショウナンサムデイ,1.0,0.5454775655601233,3.0,5.9,3.0
202501010108,マイバラード,4.0,0.27234659643969034,4.0,25.7,5.0
202501010108,デルマジュテーム,5.0,0.19718737659255509,5.0,23.6,4.0
202501010109,ショウナンヤッホー,1.0,0.6522233872149525,1.0,3.3,1.0
202501010109,コスモシェルベット,6.0,0.47926259854742553,2.0,3.7,2.0
202501010109,レッドベルダンス,4.0,0.38994754753232497,3.0,4.7,3.0
202501010109,ウォーターリーダー,5.0,0.34693312210293586,4.0,6.2,4.0
202501010109,スズノソレイユ,11.0,0.2513364046654953,5.0,9.5,5.0
202501010109,サトノルクソン,9.0,0.24957295616831293,6.0,15.9,6.0
202501010109,リュミナーズ,3.0,0.2082020087103846,7.0,22.9,7.0
202501010109,ユウェンタース,8.0,0.1405539058881961,8.0,30.0,8.0
202501010109,オメガドライヴ,13.0,0.12883992127211405,9.0,47.7,9.0
202501010109,ブレイジングスター,2.0,0.12073299937174078,10.0,58.2,10.0
202501010109,コムルヴァン,12.0,0.11302368923115551,11.0,64.9,11.0
202501010109,クールシェルタ,7.0,0.038816753373957305,12.0,92.4,12.0
202501010109,ロストボール,10.0,0.015692687338827848,13.0,235.3,13.0
202501010110,ウインマクシマム,2.0,0.47558711205837234,1.0,3.6,1.0
202501010110,バレンタインガール,6.0,0.4430967382730854,2.0,3.9,2.0
202501010110,スピードリッチ,1.0,0.39676741673464344,3.0,4.9,3.0
202501010110,ヴァイザーバルコ,5.0,0.3171038783501519,4.0,6.8,4.0
202501010110,ハイラント,7.0,0.26117746392513425,5.0,11.9,6.0
202501010110,ラスハンメル,13.0,0.2457328843795828,6.0,11.3,5.0
202501010110,ライフセービング,4.0,0.2298872822085894,7.0,13.2,7.0
202501010110,ミヤビブレイブ,8.0,0.22697238040666234,8.0,13.6,8.0
202501010110,キャリーハピネス,9.0,0.15906772594831697,9.0,43.8,9.0
202501010110,グレン,12.0,0.054626211763467686,10.0,72.4,10.0
202501010110,デルマグレムリン,3.0,0.05028135366431773,11.0,93.0,11.0
202501010110,コルデアニル,11.0,0.02185946439746536,12.0,223.3,13.0
202501010110,チョメチョメ,10.0,0.00841506005440866,13.0,153.5,12.0
202501010111,カルプスペルシュ,1.0,0.5166663398939916,1.0,2.0,1.0
202501010111,ナムラローズマリー,7.0,0.4106097705167011,2.0,4.2,2.0
202501010111,モズナナスター,9.0,0.3801025095152327,3.0,8.6,3.0
202501010111,ソノママソノママ,8.0,0.3394547044211058,4.0,13.3,4.0
202501010111,エマヌエーレ,5.0,0.27336264890935785,5.0,13.8,5.0
202501010111,ルーフ,2.0,0.23034081037409712,6.0,16.5,6.0
202501010111,ポエットリー,3.0,0.22600099898936654,7.0,18.0,7.0
202501010111,ゴールドサーベル,4.0,0.14402771191241542,8.0,28.8,9.0
202501010111,ロードトレイル,12.0,0.12566194432003014,9.0,30.0,10.0
202501010111,マキアージュ,11.0,0.11127634498080752,10.0,24.3,8.0
202501010111,トウカイファクター,10.0,0.06123565121209641,11.0,30.2,11.0
202501010111,シュヴェルトライテ,6.0,0.048453487632115336,12.0,78.1,12.0
202501010112,ワイドブリザード,1.0,0.49803828162704317,1.0,2.0,1.0
202501010112,バロンドール,13.0,0.4588729087177271,2.0,8.4,2.0
202501010112,マイノワール,3.0,0.32776252044857923,3.0,8.5,3.0
202501010112,ラオラシオン,10.0,0.28562474857041575,4.0,8.8,4.0
202501010112,ムジェロ,12.0,0.2801429383992168,5.0,8.8,5.0
202501010112,アイウィル,6.0,0.21108718182318242,6.0,10.7,6.0
202501010112,アセレラシオン,5.0,0.20144725103180172,7.0,13.7,7.0
202501010112,コスモオピニオン,11.0,0.1531411568123395,8.0,28.1,8.0
202501010112,ウインアルドーレ,2.0,0.1476276613496363,9.0,36.1,9.0
202501010112,フラッシング,14.0,0.13112723131749318,10.0,83.3,11.0
202501010112,バニシングポイント,8.0,0.11363168008304211,11.0,42.1,10.0
202501010112,トゥルブレンシア,7.0,0.07199200409600232,12.0,90.4,12.0
202501010112,ケイアイメキラ,4.0,0.056146929845501944,13.0,108.1,13.0
202501010112,ヒルノデプラーツ,9.0,0.03823864106194925,14.0,157.6,14.0
202501010201,ミサビスケッツ,3.0,0.6819300961955215,1.0,2.4,1.0
202501010201,スマートイザナミ,4.0,0.4030811935271577,2.0,4.8,2.0
202501010201,ハローエンジェル,5.0,0.3734490152549957,3.0,7.7,3.0
202501010201,サンダーフレア,9.0,0.27697572248138996,4.0,8.7,5.0
202501010201,ユージュアーナ,2.0,0.2643552555020332,5.0,8.6,4.0
202501010201,モアサナイト,7.0,0.23079347625031682,6.0,16.3,7.0
202501010201,オルミラベル,12.0,0.17135216711181578,7.0,19.9,8.0
202501010201,フェアーメロディ,6.0,0.16229537185366677,8.0,13.4,6.0
202501010201,セレーネアステール,10.0,0.10422131454787192,9.0,55.5,10.0
202501010201,メイショウハマギク,1.0,0.09501554348905532,10.0,25.3,9.0
202501010201,スタードメイソン,11.0,0.05690324190147565,11.0,65.8,11.0
202501010201,タヤスソーレ,13.0,0.031563713694661384,12.0,143.5,13.0
202501010201,アラマンダ,8.0,0.029914952248702588,13.0,149.7,14.0
202501010201,ウインフルゴラ,14.0,0.021179213167148353,14.0,112.0,12.0
202501010202,ダークメモリー,4.0,0.6258367614303468,1.0,2.4,1.0
202501010202,キャナルクルーズ,1.0,0.43692028354394874,2.0,6.8,3.0
202501010202,ハーフェン,3.0,0.4312204282255234,3.0,3.4,2.0
202501010202,スピリットサージ,5.0,0.3048528870409568,4.0,8.9,4.0
202501010202,ロードステイタス,6.0,0.30307070883080955,5.0,11.2,5.0
202501010202,ピースフルゴールド,14.0,0.2961029341529208,6.0,16.5,6.0
202501010202,ユキノエミリオ,2.0,0.16597672917914733,7.0,29.1,8.0
202501010202,エクラドネージュ,13.0,0.15202041301452787,8.0,21.5,7.0
202501010202,ウィンビュー,9.0,0.12548632798175627,9.0,62.9,9.0
202501010202,スイッチビスケット,11.0,0.08110975413984996,10.0,93.1,11.0
202501010202,コルネイユドール,8.0,0.06772835995942919,11.0,63.8,10.0
202501010202,シーオン,12.0,0.039294808141355886,12.0,114.3,12.0
202501010202,ベルシャイニー,7.0,0.027111870336889526,13.0,196.0,14.0
202501010202,ウインボニータ,10.0,0.0192758015104631,14.0,176.5,13.0
202501010203,オンクラウドナイン,3.0,0.502244765749652,1.0,3.7,2.0
202501010203,カフェブーケット,1.0,0.49088328636426964,2.0,2.2,1.0
202501010203,ジャスティンアロー,8.0,0.36870711254773025,3.0,5.9,3.0
202501010203,アルテボーイ,12.0,0.35555617536856154,4.0,14.0,5.0
202501010203,ルグランシャリオ,2.0,0.31593940576486546,5.0,13.6,4.0
202501010203,ブラックレーション,13.0,0.2875506579607864,6.0,16.9,7.0
202501010203,セイスイミリオン,9.0,0.21521416474388644,7.0,15.7,6.0
202501010203,タイキフィアリーベ,6.0,0.15941868116025534,8.0,36.1,8.0
202501010203,ミユンガー,11.0,0.11991443165395506,9.0,40.7,10.0
202501010203,ボールドハーテッド,5.0,0.10070364494074777,10.0,36.3,9.0
202501010203,ニコ,7.0,0.055111284205661235,11.0,71.1,11.0
202501010203,ロングロングロング,10.0,0.02764259245474026,12.0,153.0,12.0
202501010203,サザンブラック,4.0,0.014841384793522535,13.0,191.6,14.0
202501010203,マークオブゾロ,14.0,0.010386492930170157,14.0,181.3,13.0
202501010204,ピティロディア,6.0,0.6498261245349894,1.0,2.1,1.0
202501010204,ヨヒーン,1.0,0.6334317592518626,2.0,2.6,2.0
202501010204,トルストイ,5.0,0.41298775158992185,3.0,9.2,3.0
202501010204,サイモンイロハニー,4.0,0.2694341826765829,4.0,11.5,4.0
