種牡馬名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順,種別,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
モンサンミシェル,,,,,,,,,,,,,母父,5.0,0.2,0.2,0.2,0.3333333333333333,0.0,0.0,,0.5,0.0,0.0,7.2
モンシュシュ,,,,,,,,,,,,,母父,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,12.8
モンスーンウェディング,,,,,,,,,,,,,母父,13.0,0.07692307692307693,0.3076923076923077,0.46153846153846156,0.08333333333333333,0.0,0.25,0.0,0.0,0.2,0.0,5.6923076923076925
モンタージュ,,,,,,,,,,,,,母父,9.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,,0.1111111111111111,0.14285714285714285,0.0,,0.14285714285714285,,8.333333333333334
モンターニュドール,,,,,,,,,,,,,母父,41.0,0.1951219512195122,0.2926829268292683,0.3902439024390244,0.125,0.21212121212121213,0.20588235294117646,0.14285714285714285,,0.12,0.42857142857142855,7.146341463414634
モンテドーター,,,,,,,,,,,,,母父,31.0,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.041666666666666664,0.0,0.07142857142857142,0.0,0.0,0.0,0.3333333333333333,10.129032258064516
モンテミウ,,,,,,,,,,,,,母父,23.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.047619047619047616,0.05263157894736842,0.0,,0.07142857142857142,0.0,8.434782608695652
モントボーゲン,,,,,,,,,,,,,母父,20.0,0.05,0.05,0.1,0.0,0.05555555555555555,0.0,0.058823529411764705,0.0,0.09090909090909091,0.0,8.2
モントレゾール,,,,,,,,,,,,,母父,26.0,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.0,0.04,0.038461538461538464,,,0.08333333333333333,0.0,8.538461538461538
モンピュア,,,,,,,,,,,,,母父,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12.11111111111111
モンプティクール,,,,,,,,,,,,,母父,27.0,0.07407407407407407,0.25925925925925924,0.3333333333333333,0.0,0.08,0.125,0.05263157894736842,,0.11764705882352941,0.0,6.555555555555555
モンルージュ,,,,,,,,,,,,,母父,35.0,0.05714285714285714,0.05714285714285714,0.14285714285714285,0.05555555555555555,0.058823529411764705,0.06896551724137931,0.0,0.0,0.041666666666666664,0.0,9.371428571428572
モンローブロンド,,,,,,,,,,,,,母父,96.0,0.11458333333333333,0.21875,0.28125,0.10869565217391304,0.25,0.11764705882352941,0.08333333333333333,0.21052631578947367,0.10810810810810811,0.07692307692307693,6.65625
モンローライン,,,,,,,,,,,,,母父,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.666666666666667
