,列数,複勝率,勝率,平均人気,上3に2頭,全5に3頭
①現行相当（2形態・122列素材）,349.0,58.506087528792364,27.04837117472853,1.9012833168805527,46.29812438302073,26.127015465613688
②4形態（同じ素材）,517.0,58.70352089503126,27.476143468246132,1.9434024350115169,46.42974662717999,26.818032247449818
③4形態＋素材を全生列に,581.0,57.9466929911155,27.4103323461665,1.9345179335307667,46.0348798947022,25.7321487331359
