券種,レース条件,馬,オッズ,人気,点数,的中,ROI,CI下,最悪年,年100超
複勝,全体,MF複勝2位以内,1-5,人気1-6,18920,11900,85.3,84.2,83.9,0
複勝,堅いR(1人気=MF1位),MF複勝2位以内,1-20,人気1-3,13343,8307,85.3,84.1,83.6,0
複勝,堅いR(1人気=MF1位),MF複勝2位以内,1-10,人気1-3,13279,8280,85.3,84.1,83.6,0
複勝,全体,MF複勝3位以内,1-5,人気不問,23527,14473,85.0,84.1,84.3,0
複勝,全体,MF複勝3位以内,1-5,人気1-6,23527,14473,85.0,84.1,84.3,0
複勝,少頭数-12,MF複勝3位以内,1-5,人気1-3,7641,5036,85.5,84.1,84.0,0
複勝,少頭数-12,MF複勝3位以内,1-5,人気1-6,7687,5063,85.5,84.1,83.9,0
複勝,全体,MF複勝3位以内,1-5,人気1-3,23455,14431,85.0,84.1,84.2,0
複勝,ダート,MF複勝5位以内,1-5,人気不問,13304,8011,85.3,84.0,84.3,0
複勝,ダート,MF複勝5位以内,1-5,人気1-6,13304,8011,85.3,84.0,84.3,0
複勝,少頭数-12,MF複勝3位以内,1-5,人気不問,7687,5063,85.5,84.0,83.9,0
複勝,少頭数-12,MF複勝5位以内,1-5,人気1-3,8856,5730,85.2,83.9,83.7,0
複勝,ダート,MF複勝1位,1-20,人気1-6,6426,3968,85.6,83.9,83.5,0
複勝,少頭数-12,MF複勝5位以内,1-10,人気1-3,11884,7138,85.2,83.9,82.3,0
複勝,ダート,MF複勝5位以内,1-5,人気1-3,13251,7977,85.2,83.9,84.3,0
複勝,少頭数-12,MF複勝5位以内,1-20,人気1-3,12065,7200,85.3,83.9,82.4,0
複勝,少頭数-12,MF複勝3位以内,1-10,人気1-3,9542,5926,85.5,83.9,83.4,0
複勝,少頭数-12,MF複勝5位以内,1-5,人気1-6,8933,5774,85.3,83.8,83.6,0
複勝,ダート,MF複勝1位,1-10,人気不問,6310,3935,85.7,83.8,83.6,0
複勝,ダート,MF複勝1位,1-10,人気1-6,6309,3934,85.6,83.8,83.6,0
複勝,少頭数-12,MF複勝2位以内,1-20,人気不問,8060,4963,85.5,83.8,83.6,0
複勝,少頭数-12,MF複勝5位以内,1-5,人気不問,8933,5774,85.3,83.8,83.6,0
複勝,全体,MF複勝5位以内,1-5,人気1-6,27249,16440,84.6,83.8,84.0,0
複勝,堅いR(1人気=MF1位),MF複勝2位以内,1-10,人気1-6,14102,8595,85.0,83.8,83.1,0
複勝,全体,MF複勝5位以内,1-5,人気不問,27249,16440,84.6,83.8,84.0,0
複勝,長距離1900+,MF複勝1位,1-10,人気1-6,2890,1843,86.5,83.8,84.7,0
複勝,全体,MF複勝5位以内,1-5,人気1-3,27128,16368,84.6,83.7,84.0,0
複勝,堅いR(1人気=MF1位),MF複勝2位以内,1-10,人気不問,14104,8595,85.0,83.7,83.1,0
複勝,芝,MF複勝1位,1-5,人気不問,5526,3617,85.2,83.6,83.1,0
複勝,ダート,MF複勝1位,1-20,人気不問,6476,3979,85.5,83.6,83.2,0
複勝,短距離-1400,MF複勝2位以内,1-5,人気不問,6434,3946,85.3,83.6,82.4,0
複勝,ダート,MF複勝2位以内,1-10,人気1-3,11376,6728,85.0,83.6,83.5,0
複勝,ダート,MF複勝3位以内,1-10,人気1-3,15238,8657,84.9,83.6,83.7,0
複勝,ダート,MF複勝3位以内,1-20,人気1-3,15394,8707,84.8,83.6,83.6,0
複勝,芝,MF複勝1位,1-5,人気1-3,5517,3610,85.2,83.5,83.1,0
複勝,芝,MF複勝1位,1-5,人気1-6,5526,3617,85.2,83.5,83.1,0
複勝,短距離-1400,MF複勝2位以内,1-5,人気1-6,6434,3946,85.3,83.5,82.4,0
複勝,堅いR(1人気=MF1位),MF複勝2位以内,1-20,人気1-6,14752,8779,84.8,83.5,83.7,0
複勝,ダート,MF複勝2位以内,1-20,人気1-3,11427,6746,84.9,83.5,83.5,0
複勝,短距離-1400,MF複勝3位以内,1-5,人気不問,8027,4819,85.0,83.4,83.8,0
複勝,短距離-1400,MF複勝3位以内,1-5,人気1-6,8027,4819,85.0,83.4,83.8,0
複勝,全体,MF複勝2位以内,1-10,人気1-3,23213,13695,84.3,83.4,83.0,0
複勝,短距離-1400,MF複勝2位以内,1-5,人気1-3,6422,3937,85.2,83.4,82.1,0
複勝,堅いR(1人気=MF1位),MF複勝2位以内,1-20,人気不問,14864,8798,84.6,83.3,83.4,0
複勝,芝,MF複勝2位以内,1-5,人気不問,9621,6052,84.7,83.3,82.8,0
複勝,少頭数-12,MF複勝3位以内,1-10,人気1-6,11079,6544,84.6,83.3,82.6,0
複勝,全体,MF複勝2位以内,1-20,人気1-3,23294,13726,84.3,83.3,83.0,0
複勝,全体,MF複勝1位,1-10,人気不問,12853,7918,84.6,83.3,82.1,0
複勝,全体,MF複勝1位,1-10,人気1-6,12851,7916,84.5,83.3,82.1,0
複勝,芝,MF複勝2位以内,1-5,人気1-6,9621,6052,84.7,83.3,82.8,0
複勝,長距離1900+,MF複勝2位以内,1-5,人気1-3,4365,2792,85.2,83.3,83.8,0
複勝,短距離-1400,MF複勝5位以内,1-5,人気1-6,9353,5508,84.7,83.2,83.1,0
複勝,堅いR(1人気=MF1位),MF複勝3位以内,1-20,人気1-3,17755,10341,84.4,83.2,83.5,0
