券種,レース条件,馬,オッズ,人気,点数,的中,ROI,CI下,最悪年,年100超
単勝,全体,MF複勝3位以内,1-20,人気1-6,40480,8541,80.2,78.3,78.4,0
複勝,芝,MF複勝3位以内,3-10,人気1-3,10922,5293,80.1,78.3,79.2,0
単勝,芝,MF複勝5位以内,1-20,人気1-6,31530,5613,80.6,78.2,77.4,0
単勝,少頭数-12,MF複勝1位,1-20,人気不問,3908,1315,82.3,78.2,77.8,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,1-5,人気1-3,2450,1289,81.1,78.2,77.7,0
単勝,全体,MF複勝5位以内,5-15,人気4-6,18768,1716,81.9,78.2,76.9,0
単勝,短距離-1400,MF複勝1位,1-5,人気不問,3691,1194,82.1,78.2,78.8,0
単勝,堅いR(1人気=MF1位),MF複勝1位,1-20,人気不問,8137,3000,80.7,78.2,79.0,0
単勝,堅いR(1人気=MF1位),MF複勝1位,1-10,人気不問,8137,3000,80.7,78.2,79.0,0
単勝,短距離-1400,MF複勝2位以内,1-10,人気1-6,9084,2241,81.7,78.2,77.4,0
複勝,ダート,MF複勝3位以内,5-30,人気1-3,3945,1646,81.6,78.2,78.7,0
単勝,芝,MF複勝5位以内,1-5,人気不問,13945,3830,80.5,78.2,78.7,0
単勝,長距離1900+,MF複勝1位,1-20,人気不問,2955,923,83.5,78.2,79.8,0
単勝,芝,MF複勝2位以内,1-5,人気1-6,9621,2868,80.9,78.2,75.6,0
単勝,ダート,MF複勝5位以内,1-20,人気1-6,30179,5385,80.5,78.2,78.5,0
単勝,短距離-1400,MF複勝5位以内,1-10,人気不問,17887,3563,80.9,78.2,77.1,0
複勝,道悪,MF複勝3位以内,1-20,人気不問,5039,2447,80.9,78.2,79.3,0
単勝,短距離-1400,MF複勝5位以内,1-10,人気1-6,17872,3561,80.8,78.2,77.2,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,5-15,人気1-6,16995,6108,79.8,78.2,78.9,0
単勝,少頭数-12,MF複勝5位以内,1-10,人気1-6,15263,3384,81.0,78.2,78.4,0
単勝,全体,MF複勝5位以内,3-10,人気不問,39932,6262,80.0,78.2,78.5,0
単勝,芝,MF複勝5位以内,1-10,人気1-3,20082,4640,80.4,78.2,79.0,0
複勝,多頭数16+,MF複勝3位以内,3-10,人気不問,11272,4955,79.7,78.1,77.2,0
単勝,少頭数-12,MF複勝5位以内,1-5,人気不問,8933,2617,80.9,78.1,77.5,0
複勝,芝,MF複勝3位以内,3-10,人気1-6,13673,6292,79.6,78.1,78.6,0
複勝,芝,MF複勝3位以内,3-10,人気不問,13681,6295,79.7,78.1,78.6,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,5-15,人気1-3,7393,3011,80.6,78.1,78.0,0
複勝,全体,MF複勝5位以内,5-15,人気1-6,31356,11138,79.3,78.1,78.7,0
単勝,少頭数-12,MF複勝3位以内,1-5,人気不問,7687,2334,81.2,78.1,78.2,0
複勝,全体,MF複勝5位以内,5-15,人気不問,32420,11392,79.4,78.1,79.0,0
複勝,少頭数-12,MF複勝5位以内,5-15,人気不問,8793,3397,80.6,78.1,78.2,0
単勝,短距離-1400,MF複勝2位以内,1-20,人気1-6,9605,2274,81.7,78.1,76.3,0
単勝,芝,MF複勝5位以内,1-10,人気不問,25878,5256,80.3,78.1,77.8,0
単勝,全体,MF複勝3位以内,1-10,人気1-6,36698,8295,79.8,78.1,78.0,0
単勝,道悪,MF複勝2位以内,1-20,人気不問,3313,809,83.9,78.1,70.6,0
単勝,全体,MF複勝3位以内,1-10,人気不問,36713,8297,79.9,78.1,78.1,0
単勝,芝,MF複勝5位以内,1-5,人気1-3,13877,3815,80.4,78.1,78.5,0
単勝,全体,MF複勝5位以内,3-10,人気1-6,39893,6258,80.0,78.1,78.5,0
単勝,少頭数-12,MF複勝5位以内,1-5,人気1-6,8933,2617,80.9,78.1,77.5,0
複勝,荒れR(1人気=MF4位以下),MF複勝3位以内,1-5,人気1-3,1297,671,82.3,78.1,78.8,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,5-30,人気1-3,7439,3020,80.4,78.0,77.7,0
単勝,長距離1900+,MF複勝1位,1-10,人気不問,2890,917,82.8,78.0,78.8,0
単勝,堅いR(1人気=MF1位),MF複勝5位以内,1-10,人気不問,26736,5763,80.1,78.0,77.2,0
複勝,少頭数-12,MF複勝2位以内,5-30,人気不問,2006,836,82.7,78.0,79.7,0
単勝,少頭数-12,MF複勝2位以内,3-10,人気1-6,4384,834,83.5,78.0,72.1,0
単勝,芝,MF複勝5位以内,1-10,人気1-6,25858,5255,80.3,78.0,77.8,0
単勝,少頭数-12,MF複勝3位以内,1-5,人気1-6,7687,2334,81.2,78.0,78.2,0
単勝,堅いR(1人気=MF1位),MF複勝2位以内,1-5,人気不問,11185,3649,80.3,78.0,77.0,0
単勝,短距離-1400,MF複勝1位,1-5,人気1-6,3691,1194,82.1,78.0,78.8,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,5-15,人気不問,17411,6207,79.8,78.0,78.8,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,3-10,人気1-3,3357,1555,81.2,78.0,78.2,0
単勝,短距離-1400,MF複勝3位以内,1-20,人気1-3,10983,2644,81.1,78.0,77.7,0
単勝,短距離-1400,MF複勝3位以内,1-10,人気不問,12888,2851,80.7,78.0,77.9,0
複勝,荒れR(1人気=MF4位以下),MF複勝3位以内,1-5,人気1-6,1314,680,82.3,78.0,79.2,0
複勝,道悪,MF複勝3位以内,1-20,人気1-6,4924,2419,80.7,78.0,78.9,0
複勝,道悪,MF複勝5位以内,3-10,人気1-3,3549,1660,81.0,78.0,79.2,0
単勝,堅いR(1人気=MF1位),MF複勝2位以内,1-20,人気1-6,14752,4057,80.7,78.0,78.2,0
単勝,少頭数-12,MF複勝3位以内,1-10,人気不問,11082,2758,81.2,78.0,79.1,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,1-10,人気不問,5635,2485,80.4,77.9,78.2,0
単勝,長距離1900+,MF複勝1位,1-10,人気1-3,2730,898,83.0,77.9,78.7,0
単勝,全体,MF複勝1位,1-20,人気1-6,13085,3878,80.4,77.9,79.0,0
単勝,堅いR(1人気=MF1位),MF複勝3位以内,1-5,人気不問,13124,4038,80.1,77.9,77.6,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,1-10,人気1-6,5621,2478,80.3,77.9,78.1,0
複勝,全体,MF複勝3位以内,5-30,人気1-3,8124,3327,80.0,77.9,77.7,0
単勝,少頭数-12,MF複勝3位以内,1-5,人気1-3,7641,2320,80.8,77.9,77.3,0
複勝,多頭数16+,MF複勝3位以内,3-10,人気1-6,11267,4951,79.7,77.9,77.2,0
複勝,荒れR(1人気=MF4位以下),MF複勝1位,1-20,人気1-3,883,436,83.7,77.9,68.8,0
複勝,全体,MF複勝3位以内,5-15,人気1-3,8090,3320,80.1,77.9,77.8,0
単勝,堅いR(1人気=MF1位),MF複勝2位以内,1-20,人気不問,14864,4062,80.5,77.9,78.1,0
複勝,荒れR(1人気=MF4位以下),MF複勝1位,1-10,人気1-3,881,435,83.7,77.9,69.2,0
単勝,芝,MF複勝2位以内,1-10,人気1-6,13138,3313,80.5,77.9,75.5,0
単勝,堅いR(1人気=MF1位),MF複勝3位以内,1-5,人気1-6,13124,4038,80.1,77.9,77.6,0
単勝,芝,MF複勝2位以内,1-5,人気1-3,9602,2862,80.8,77.9,75.3,0
複勝,道悪,MF複勝3位以内,3-10,人気1-3,2642,1275,81.3,77.9,78.5,0
単勝,短距離-1400,MF複勝5位以内,3-10,人気1-6,14465,2277,80.8,77.9,76.7,0
単勝,全体,MF複勝5位以内,3-10,人気1-3,28633,5058,80.1,77.9,76.3,0
単勝,堅いR(1人気=MF1位),MF複勝5位以内,5-15,人気4以下,10018,888,83.3,77.9,73.3,0
単勝,全体,MF複勝5位以内,1-20,人気4-6,21947,1884,81.6,77.9,73.8,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,1-5,人気不問,2469,1300,81.2,77.9,77.8,0
単勝,短距離-1400,MF複勝2位以内,3-10,人気1-3,5175,997,82.3,77.9,75.6,0
単勝,堅いR(1人気=MF1位),MF複勝2位以内,1-5,人気1-6,11185,3649,80.3,77.9,77.0,0
単勝,芝,MF複勝5位以内,1-20,人気不問,33040,5690,80.4,77.9,77.7,0
単勝,芝,MF複勝5位以内,1-20,人気1-3,20337,4654,80.2,77.9,78.5,0
単勝,堅いR(1人気=MF1位),MF複勝2位以内,1-5,人気1-3,11178,3646,80.2,77.9,76.9,0
単勝,芝,MF複勝3位以内,1-20,人気不問,21122,4380,80.7,77.9,78.5,0
単勝,全体,MF複勝1位,1-20,人気不問,13193,3882,80.2,77.8,78.5,0
単勝,長距離1900+,MF複勝1位,1-10,人気1-6,2890,917,82.8,77.8,78.8,0
単勝,長距離1900+,MF複勝1位,1-20,人気1-3,2731,898,82.9,77.8,78.6,0
単勝,少頭数-12,MF複勝5位以内,3-10,人気1-3,7954,1456,81.8,77.8,74.1,0
複勝,全体,MF複勝2位以内,5-15,人気1-3,4399,1848,80.6,77.8,77.4,0
単勝,全体,MF複勝3位以内,3-10,人気1-3,21269,3876,80.0,77.8,76.2,0
複勝,芝,MF複勝1位,3-10,人気1-3,2807,1415,81.0,77.8,77.7,0
単勝,ダート,MF複勝5位以内,1-20,人気不問,31572,5454,80.2,77.8,77.1,0
複勝,荒れR(1人気=MF4位以下),MF複勝1位,1-20,人気1-6,1287,576,82.9,77.8,79.9,0
単勝,芝,MF複勝2位以内,1-10,人気不問,13143,3313,80.4,77.8,75.5,0
単勝,ダート,MF複勝3位以内,1-20,人気1-3,15394,3796,80.3,77.8,77.1,0
単勝,短距離-1400,MF複勝3位以内,1-10,人気1-6,12883,2850,80.7,77.8,77.9,0
複勝,荒れR(1人気=MF4位以下),MF複勝2位以内,5-15,人気1-3,733,308,85.7,77.8,75.6,1
複勝,荒れR(1人気=MF4位以下),MF複勝3位以内,1-5,人気不問,1314,680,82.3,77.8,79.2,0
単勝,短距離-1400,MF複勝2位以内,1-20,人気不問,9782,2281,81.3,77.8,75.2,0
単勝,堅いR(1人気=MF1位),MF複勝3位以内,1-20,人気1-3,17755,4615,79.9,77.8,77.4,0
単勝,堅いR(1人気=MF1位),MF複勝5位以内,1-10,人気1-6,26726,5761,80.1,77.8,77.2,0
複勝,荒れR(1人気=MF4位以下),MF複勝2位以内,5-15,人気1-6,1705,645,83.0,77.8,78.3,0
単勝,短距離-1400,MF複勝1位,1-5,人気1-3,3683,1192,82.1,77.8,78.4,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,1-5,人気1-6,2469,1300,81.2,77.8,77.8,0
単勝,全体,MF複勝5位以内,5-15,人気不問,32420,3371,80.5,77.8,76.9,0
単勝,芝,MF複勝3位以内,1-5,人気1-6,12049,3400,80.0,77.7,77.6,0
単勝,芝,MF複勝3位以内,10-20,人気1-6,1834,131,93.1,77.7,74.5,1
単勝,少頭数-12,MF複勝5位以内,1-5,人気1-3,8856,2599,80.6,77.7,76.8,0
複勝,少頭数-12,MF複勝5位以内,5-30,人気1-6,10404,3782,80.0,77.7,78.2,0
単勝,芝,MF複勝5位以内,3-10,人気1-6,20434,3218,80.5,77.7,77.4,0
単勝,芝,MF複勝5位以内,3-10,人気1-3,14658,2603,80.7,77.7,79.2,0
単勝,荒れR(1人気=MF4位以下),MF複勝3位以内,1-20,人気1-6,4196,603,84.2,77.7,71.3,0
単勝,短距離-1400,MF複勝5位以内,1-10,人気1-3,13824,3120,80.5,77.7,75.8,0
単勝,道悪,MF複勝5位以内,1-20,人気4-6,2703,253,88.5,77.7,75.7,0
単勝,道悪,MF複勝5位以内,10-20,人気4-6,1242,94,95.9,77.7,89.4,2
単勝,堅いR(1人気=MF1位),MF複勝3位以内,1-5,人気1-3,13100,4030,80.0,77.7,77.2,0
単勝,堅いR(1人気=MF1位),MF複勝2位以内,1-10,人気不問,14104,4010,80.1,77.7,77.4,0
複勝,ダート,MF複勝5位以内,5-15,人気不問,15860,5554,79.5,77.7,78.0,0
単勝,ダート,MF複勝3位以内,1-10,人気不問,17903,4074,80.1,77.7,77.9,0
複勝,少頭数-12,MF複勝3位以内,5-30,人気1-6,4508,1787,80.8,77.7,77.7,0
単勝,ダート,MF複勝3位以内,1-10,人気1-3,15238,3787,80.4,77.7,77.3,0
単勝,ダート,MF複勝2位以内,1-20,人気1-6,13301,3253,80.5,77.7,77.4,0
単勝,多頭数16+,MF複勝3位以内,1-5,人気不問,8988,2458,80.4,77.6,77.4,0
複勝,荒れR(1人気=MF4位以下),MF複勝3位以内,1-20,人気1-6,4196,1709,80.6,77.6,76.8,0
単勝,短距離-1400,MF複勝1位,1-20,人気1-6,4608,1306,82.2,77.6,77.3,0
複勝,ダート,MF複勝5位以内,5-15,人気1-6,15364,5439,79.6,77.6,78.1,0
単勝,ダート,MF複勝3位以内,1-10,人気1-6,17896,4072,80.1,77.6,77.9,0
複勝,道悪,MF複勝5位以内,10-20,人気4以下,1618,418,84.8,77.6,79.1,0
複勝,多頭数16+,MF複勝5位以内,5-15,人気不問,13823,4657,79.5,77.6,78.0,0
単勝,全体,MF複勝1位,1-10,人気1-6,12851,3859,80.0,77.6,78.3,0
単勝,全体,MF複勝1位,1-10,人気不問,12853,3859,80.0,77.6,78.2,0
単勝,芝,MF複勝3位以内,1-5,人気不問,12049,3400,80.0,77.6,77.6,0
複勝,荒れR(1人気=MF4位以下),MF複勝3位以内,5-15,人気1-3,1054,437,83.8,77.6,72.8,0
単勝,堅いR(1人気=MF1位),MF複勝5位以内,1-10,人気1-3,21453,5199,79.7,77.6,77.6,0
単勝,堅いR(1人気=MF1位),MF複勝2位以内,1-10,人気1-6,14102,4010,80.1,77.6,77.4,0
複勝,道悪,MF複勝2位以内,3-10,人気1-6,2080,997,81.5,77.6,77.6,0
単勝,道悪,MF複勝5位以内,1-20,人気1-6,7501,1322,82.3,77.6,81.0,0
単勝,全体,MF複勝5位以内,5-15,人気1-6,31356,3298,80.4,77.5,77.3,0
単勝,ダート,MF複勝5位以内,1-10,人気不問,24623,5027,79.8,77.5,78.0,0
単勝,芝,MF複勝5位以内,5-15,人気不問,16560,1749,81.2,77.5,76.0,0
単勝,堅いR(1人気=MF1位),MF複勝5位以内,1-20,人気1-6,33460,6170,79.8,77.5,77.0,0
複勝,芝,MF複勝5位以内,5-15,人気不問,16560,5838,79.3,77.5,78.7,0
単勝,少頭数-12,MF複勝5位以内,3-10,人気1-6,11333,1824,80.9,77.5,74.8,0
単勝,荒れR(1人気=MF4位以下),MF複勝5位以内,1-20,人気4以下,3448,325,87.0,77.5,69.1,0
単勝,全体,MF複勝2位以内,3-10,人気1-3,14081,2689,80.4,77.5,76.8,0
単勝,芝,MF複勝3位以内,1-20,人気1-3,16181,3940,79.9,77.5,78.1,0
単勝,芝,MF複勝3位以内,1-10,人気1-3,16051,3930,79.9,77.5,77.9,0
単勝,芝,MF複勝5位以内,3-10,人気不問,20454,3219,80.5,77.5,77.4,0
単勝,道悪,MF複勝5位以内,5-15,人気1-6,3904,431,85.5,77.5,80.2,0
単勝,ダート,MF複勝5位以内,1-20,人気1-3,19425,4460,79.8,77.5,76.3,0
単勝,荒れR(1人気=MF4位以下),MF複勝5位以内,1-20,人気4-6,2857,290,87.3,77.5,71.3,1
単勝,多頭数16+,MF複勝3位以内,1-5,人気1-6,8988,2458,80.4,77.5,77.4,0
単勝,短距離-1400,MF複勝5位以内,3-10,人気不問,14480,2279,80.8,77.5,76.6,0
単勝,多頭数16+,MF複勝3位以内,1-5,人気1-3,8974,2454,80.3,77.5,77.3,0
単勝,全体,MF複勝1位,3-10,人気1-3,5462,1128,82.1,77.5,77.5,0
単勝,少頭数-12,MF複勝3位以内,5-15,人気1-3,1981,279,87.4,77.5,81.8,0
単勝,ダート,MF複勝2位以内,1-10,人気不問,12649,3208,80.2,77.5,77.9,0
単勝,ダート,MF複勝5位以内,1-10,人気1-6,24604,5024,79.8,77.5,77.9,0
単勝,全体,MF複勝3位以内,3-10,人気不問,26693,4456,79.7,77.5,77.4,0
複勝,道悪,MF複勝2位以内,3-10,人気不問,2081,998,81.6,77.5,77.6,0
単勝,堅いR(1人気=MF1位),MF複勝3位以内,1-10,人気1-3,17527,4598,79.8,77.4,77.7,0
単勝,全体,MF複勝5位以内,10-20,人気4-6,10687,684,83.5,77.4,70.8,0
単勝,ダート,MF複勝5位以内,1-10,人気1-3,19120,4439,79.8,77.4,75.8,0
単勝,堅いR(1人気=MF1位),MF複勝2位以内,1-20,人気1-3,13343,3918,79.8,77.4,77.5,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,3-10,人気不問,5208,2205,80.0,77.4,77.7,0
複勝,短距離-1400,MF複勝5位以内,5-15,人気1-6,11482,3983,79.5,77.4,76.8,0
単勝,堅いR(1人気=MF1位),MF複勝3位以内,1-10,人気1-6,19828,4839,79.7,77.4,76.1,0
単勝,堅いR(1人気=MF1位),MF複勝3位以内,1-10,人気不問,19831,4839,79.7,77.4,76.1,0
複勝,短距離-1400,MF複勝1位,3-10,人気1-3,2097,1041,81.3,77.4,73.5,0
単勝,全体,MF複勝3位以内,3-10,人気1-6,26678,4454,79.6,77.4,77.3,0
複勝,全体,MF複勝2位以内,5-30,人気1-3,4408,1851,80.5,77.4,77.2,0
複勝,荒れR(1人気=MF4位以下),MF複勝1位,3-10,人気1-3,860,420,83.5,77.4,68.7,0
単勝,短距離-1400,MF複勝1位,1-20,人気不問,4660,1307,81.7,77.4,76.3,0
単勝,芝,MF複勝3位以内,1-5,人気1-3,12004,3388,79.9,77.4,77.3,0
単勝,堅いR(1人気=MF1位),MF複勝5位以内,1-20,人気1-3,21895,5229,79.7,77.4,77.8,0
単勝,堅いR(1人気=MF1位),MF複勝5位以内,5-15,人気不問,17411,1794,81.1,77.4,73.7,0
単勝,道悪,MF複勝2位以内,5-15,人気4以下,451,54,102.7,77.4,32.2,3
単勝,短距離-1400,MF複勝3位以内,3-10,人気1-3,7686,1410,81.1,77.3,76.0,0
単勝,短距離-1400,MF複勝5位以内,1-20,人気1-6,21858,3802,80.2,77.3,74.7,0
単勝,少頭数-12,MF複勝5位以内,3-10,人気不問,11345,1826,81.0,77.3,74.7,0
単勝,全体,MF複勝2位以内,3-10,人気1-6,16650,2968,80.1,77.3,76.8,0
単勝,全体,MF複勝2位以内,3-10,人気不問,16660,2969,80.1,77.3,76.7,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,1-20,人気1-6,6661,2738,79.7,77.3,78.5,0
単勝,ダート,MF複勝1位,3-10,人気不問,3028,611,83.3,77.3,78.2,0
複勝,荒れR(1人気=MF4位以下),MF複勝2位以内,1-5,人気1-6,1016,528,82.1,77.3,78.0,0
単勝,芝,MF複勝3位以内,10-20,人気4-6,1704,121,93.8,77.3,76.5,1
単勝,ダート,MF複勝2位以内,1-10,人気1-6,12644,3207,80.2,77.3,77.9,0
単勝,短距離-1400,MF複勝5位以内,1-20,人気1-3,14000,3128,80.1,77.3,75.5,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,5-15,人気1-3,1352,551,82.6,77.3,75.6,0
複勝,長距離1900+,MF複勝2位以内,5-15,人気不問,1658,661,82.2,77.3,73.4,0
複勝,長距離1900+,MF複勝2位以内,5-30,人気1-6,1695,670,82.6,77.3,76.8,0
複勝,多頭数16+,MF複勝5位以内,5-15,人気1-6,13288,4525,79.3,77.3,77.6,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,3-10,人気1-6,5194,2198,79.9,77.3,77.6,0
複勝,荒れR(1人気=MF4位以下),MF複勝5位以内,5-30,人気1-3,1354,551,82.4,77.3,75.6,0
単勝,ダート,MF複勝5位以内,5-15,人気4-6,9211,848,82.6,77.3,76.8,0
単勝,荒れR(1人気=MF4位以下),MF複勝3位以内,1-20,人気4-6,1843,198,89.4,77.3,74.5,1
単勝,ダート,MF複勝2位以内,1-20,人気不問,13483,3262,80.3,77.3,76.8,0
複勝,芝,MF複勝5位以内,5-15,人気1-6,15992,5699,79.1,77.2,78.4,0
単勝,芝,MF複勝3位以内,1-10,人気不問,18810,4223,79.6,77.2,77.6,0
単勝,長距離1900+,MF複勝2位以内,1-5,人気不問,4372,1326,80.9,77.2,78.2,0
単勝,芝,MF複勝3位以内,1-10,人気1-6,18802,4223,79.6,77.2,77.6,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,5-30,人気1-6,20017,6758,78.9,77.2,77.2,0
複勝,荒れR(1人気=MF4位以下),MF複勝2位以内,1-5,人気不問,1016,528,82.1,77.2,78.0,0
単勝,堅いR(1人気=MF1位),MF複勝5位以内,3-10,人気1-6,19968,3051,79.9,77.2,76.2,0
単勝,堅いR(1人気=MF1位),MF複勝5位以内,1-20,人気不問,34739,6234,79.6,77.2,76.8,0
複勝,長距離1900+,MF複勝5位以内,5-15,人気不問,7077,2552,79.8,77.2,77.8,0
複勝,荒れR(1人気=MF4位以下),MF複勝3位以内,1-20,人気不問,4479,1770,80.5,77.2,76.3,0
単勝,堅いR(1人気=MF1位),MF複勝3位以内,1-20,人気1-6,22087,4976,79.5,77.2,75.4,0
単勝,短距離-1400,MF複勝1位,1-10,人気1-6,4505,1297,81.5,77.2,77.1,0
複勝,短距離-1400,MF複勝1位,3-10,人気1-6,2413,1152,80.7,77.2,73.0,0
単勝,ダート,MF複勝5位以内,5-15,人気4以下,9707,879,82.3,77.2,77.0,0
複勝,荒れR(1人気=MF4位以下),MF複勝3位以内,5-30,人気1-3,1056,437,83.6,77.2,72.8,0
単勝,堅いR(1人気=MF1位),MF複勝2位以内,1-10,人気1-3,13279,3912,79.6,77.2,75.9,0
単勝,全体,MF複勝5位以内,10-20,人気1-6,11247,719,82.9,77.2,69.9,0
単勝,道悪,MF複勝2位以内,1-10,人気不問,3131,793,82.7,77.2,74.5,0
単勝,全体,MF複勝5位以内,5-30,人気4-6,23401,1907,80.8,77.2,75.4,0
複勝,全体,MF複勝5位以内,5-30,人気1-6,36047,12134,78.5,77.2,77.3,0
複勝,短距離-1400,MF複勝5位以内,5-15,人気不問,11966,4090,79.3,77.2,76.7,0
複勝,多頭数16+,MF複勝5位以内,5-15,人気1-3,5608,2175,79.8,77.2,77.5,0
単勝,多頭数16+,MF複勝5位以内,1-20,人気1-3,16020,3474,79.7,77.1,76.2,0
単勝,多頭数16+,MF複勝5位以内,1-20,人気1-6,24890,4218,79.8,77.1,75.9,0
複勝,荒れR(1人気=MF4位以下),MF複勝2位以内,1-5,人気1-3,1008,523,82.0,77.1,78.0,0
単勝,全体,MF複勝5位以内,1-20,人気4以下,24850,2030,80.7,77.1,72.9,0
単勝,芝,MF複勝2位以内,5-30,人気1-3,2266,326,85.8,77.1,67.5,0
複勝,荒れR(1人気=MF4位以下),MF複勝2位以内,5-30,人気不問,1966,696,82.2,77.1,77.6,0
単勝,芝,MF複勝2位以内,5-15,人気1-3,2263,326,85.9,77.1,67.8,0
複勝,荒れR(1人気=MF4位以下),MF複勝1位,1-10,人気不問,1193,547,82.3,77.1,77.5,0
複勝,多頭数16+,MF複勝1位,3-10,人気1-3,2483,1201,80.5,77.1,73.5,0
単勝,芝,MF複勝5位以内,5-15,人気1-6,15992,1707,80.7,77.1,76.2,0
単勝,道悪,MF複勝5位以内,5-15,人気不問,4058,441,85.1,77.1,78.9,0
単勝,少頭数-12,MF複勝3位以内,3-10,人気1-6,7381,1281,81.3,77.1,76.0,0
複勝,長距離1900+,MF複勝2位以内,5-30,人気不問,1813,693,82.2,77.1,75.3,0
複勝,道悪,MF複勝5位以内,3-10,人気不問,5015,2158,79.6,77.1,78.0,0
単勝,道悪,MF複勝2位以内,5-15,人気4-6,428,52,102.6,77.1,34.1,4
複勝,荒れR(1人気=MF4位以下),MF複勝2位以内,5-15,人気不問,1779,661,82.5,77.1,77.2,0
単勝,短距離-1400,MF複勝1位,3-10,人気1-3,2097,435,84.3,77.1,78.9,0
単勝,道悪,MF複勝2位以内,1-10,人気1-6,3130,793,82.7,77.0,74.5,0
複勝,長距離1900+,MF複勝5位以内,5-15,人気1-6,6879,2501,79.6,77.0,77.1,0
単勝,長距離1900+,MF複勝5位以内,1-20,人気1-6,13892,2522,80.5,77.0,78.2,0
単勝,短距離-1400,MF複勝5位以内,1-20,人気不問,23118,3865,79.8,77.0,75.7,0
複勝,短距離-1400,MF複勝1位,3-10,人気不問,2414,1153,80.8,77.0,73.0,0
複勝,堅いR(1人気=MF1位),MF複勝5位以内,5-15,人気4以下,10018,3196,79.3,77.0,76.5,0
複勝,道悪,MF複勝5位以内,3-10,人気1-6,5010,2155,79.6,77.0,77.8,0
複勝,芝,MF複勝5位以内,5-30,人気1-3,6464,2591,79.4,77.0,76.7,0
単勝,堅いR(1人気=MF1位),MF複勝5位以内,3-10,人気不問,19978,3053,79.9,77.0,76.1,0
複勝,全体,MF複勝2位以内,5-30,人気1-6,8211,3090,79.3,77.0,76.8,0
複勝,多頭数16+,MF複勝5位以内,5-30,人気1-3,5622,2178,79.7,77.0,77.2,0
単勝,短距離-1400,MF複勝5位以内,5-15,人気4以下,7296,665,83.1,77.0,75.7,0
複勝,堅いR(1人気=MF1位),MF複勝3位以内,5-15,人気1-3,4629,1921,80.1,77.0,78.7,0
単勝,長距離1900+,MF複勝2位以内,1-20,人気1-6,6051,1529,81.3,77.0,75.9,0
単勝,長距離1900+,MF複勝2位以内,1-5,人気1-6,4372,1326,80.9,77.0,78.2,0
単勝,少頭数-12,MF複勝1位,3-10,人気1-3,1304,285,85.9,77.0,76.0,1
複勝,荒れR(1人気=MF4位以下),MF複勝1位,1-10,人気1-6,1192,546,82.1,77.0,77.5,0
複勝,少頭数-12,MF複勝5位以内,5-30,人気不問,11377,3950,79.1,76.9,75.9,0
複勝,少頭数-12,MF複勝3位以内,5-30,人気不問,4759,1827,80.1,76.9,76.3,0
単勝,荒れR(1人気=MF4位以下),MF複勝5位以内,5-30,人気4-6,2889,286,86.9,76.9,69.6,1
単勝,道悪,MF複勝5位以内,1-20,人気不問,7882,1341,81.9,76.9,80.2,0
複勝,道悪,MF複勝5位以内,10-20,人気不問,1682,438,84.7,76.9,77.0,0
単勝,多頭数16+,MF複勝5位以内,1-10,人気1-6,20266,3922,79.4,76.9,76.6,0
複勝,長距離1900+,MF複勝2位以内,5-15,人気1-6,1629,652,82.0,76.9,75.2,0
複勝,道悪,MF複勝5位以内,5-15,人気不問,4058,1406,80.6,76.9,77.9,0
複勝,全体,MF複勝2位以内,5-15,人気不問,8094,3063,79.2,76.9,77.3,0
単勝,道悪,MF複勝1位,1-20,人気不問,1581,470,84.6,76.9,73.0,0
単勝,多頭数16+,MF複勝5位以内,1-20,人気不問,26360,4291,79.5,76.9,75.7,0
複勝,長距離1900+,MF複勝3位以内,5-15,人気1-3,1753,743,81.7,76.9,76.2,0
単勝,全体,MF複勝5位以内,5-30,人気1-6,36047,3490,79.8,76.9,76.1,0
単勝,短距離-1400,MF複勝3位以内,1-20,人気不問,14728,2956,80.0,76.9,75.5,0
単勝,ダート,MF複勝3位以内,1-20,人気不問,20294,4212,79.4,76.9,77.0,0
単勝,少頭数-12,MF複勝2位以内,5-15,人気1-3,970,143,90.3,76.9,78.6,0
単勝,短距離-1400,MF複勝1位,1-10,人気不問,4506,1297,81.4,76.9,77.0,0
単勝,ダート,MF複勝5位以内,3-10,人気不問,19478,3043,79.6,76.9,76.7,0
単勝,長距離1900+,MF複勝5位以内,1-10,人気不問,11402,2365,80.2,76.9,77.3,0
単勝,ダート,MF複勝3位以内,1-20,人気1-6,19844,4187,79.5,76.9,77.4,0
単勝,長距離1900+,MF複勝5位以内,1-10,人気1-6,11393,2364,80.1,76.9,77.4,0
