race_id,年,券種,組み合わせ,確率,推定オッズ,期待値,払戻
202205010707,2022,馬連,04-09,0.0006038183015798233,5251.6386583084195,3.171035535170732,0.0
202206050312,2022,馬単,03-12,0.005495148938008747,443.2638500104958,2.4358008746428443,0.0
202306040610,2023,馬単,03-05,0.043642240920468554,46.7374967983404,2.0397290952927993,0.0
202203010103,2022,馬単,10-07,0.012749075321584516,173.6345603603094,2.2136800884637977,0.0
202203020203,2022,馬単,09-05,0.023088806012195557,92.4455593668067,2.134457586909108,0.0
202506050403,2025,馬単,08-07,0.01889342713533936,118.00668849991288,2.229550770655793,0.0
202105010707,2021,馬単,04-05,0.1908748995663645,11.459151442214388,2.187264380648432,0.0
202104010608,2021,馬連,07-09,0.08560184423465948,36.14358673219316,3.0939576815311036,0.0
202104020407,2021,馬単,04-13,0.012037642334606188,554.6020985845671,6.676101700783019,0.0
202104040308,2021,ワイド,02-13,0.1136579606291963,20.607877463759547,2.342249325427284,0.0
202104050408,2021,馬単,10-01,0.08089739131645093,25.672167675598804,2.076811394394459,0.0
202103020509,2021,馬単,02-10,0.017297011720729654,172.42675518321303,2.9824676053714185,0.0
202405050106,2024,馬連,07-10,0.012214988086617716,637.6614485937558,7.789026997868123,0.0
202205020508,2022,馬単,10-04,0.04166513513522023,51.11995440882704,2.129919808550076,0.0
202403020410,2024,馬単,07-06,0.06845815574386376,39.211554254128394,2.684350688088085,4420.0
202305020703,2023,馬連,04-16,0.03752163854685899,57.593221120298786,2.1609920256251764,0.0
202106010606,2021,馬単,11-08,0.011924866771559316,302.20278190357857,3.603727912194771,0.0
202106030312,2021,馬連,09-12,0.0178087281627158,117.30164425636578,2.0889930956012113,0.0
202101020607,2021,馬単,05-02,0.007348810326267016,358.312257534769,2.633168818199557,0.0
202206020712,2022,馬単,06-02,0.031338335580099304,173.47831869493857,5.436521767133399,0.0
202204010610,2022,馬連,08-13,0.0026620796512943357,1007.3433023442143,2.6816281070381707,0.0
202201010309,2022,馬連,02-07,0.08015648285724644,47.82728052757188,3.833666591717032,0.0
202505040604,2025,馬単,17-06,0.004198802893082898,544.6088400672817,2.286705173273024,0.0
202104010211,2021,馬単,13-14,0.03442989984366112,77.07932899178569,2.653833577203786,0.0
202105020210,2021,馬単,09-15,0.1856578540042099,16.928870303316472,3.142977731229334,0.0
202106040311,2021,馬連,03-14,0.07107778678218954,31.785306597597252,2.25922924515054,0.0
202105050611,2021,馬単,14-11,0.007943125539562357,427.2056882827416,3.39334841324496,0.0
202206010610,2022,ワイド,13-14,0.013506581101817709,167.67352811975076,2.264696106177326,0.0
202206020710,2022,馬単,07-14,0.007254820251170145,437.3951084020453,3.173222890197919,0.0
202205050704,2022,馬連,06-12,0.037785078387097576,62.26821255829606,2.35280929253967,0.0
202404010811,2024,馬連,13-14,0.08310319533922707,29.12538461230775,2.420412526766729,0.0
202110010403,2021,馬連,01-07,0.006139353512778693,332.77125432397753,2.043000369185683,0.0
202110010608,2021,馬単,09-01,0.03637125027993763,63.037923703899736,2.2927681001621503,0.0
202106020412,2021,ワイド,05-14,0.0025432485386728113,1259.9299930843729,3.2043151137418766,0.0
202105040312,2021,馬単,01-03,0.021479093809157662,108.2963441864931,2.3261073359705113,0.0
202206020412,2022,馬連,08-16,0.0030523110484818507,666.2212952677394,2.03351462027961,0.0
202206040812,2022,馬単,11-04,0.003252849057495914,657.2538184385078,2.137947463843291,0.0
202205050708,2022,馬単,12-07,0.0037982857972992984,924.7937121430369,3.512630822264593,0.0
202104040206,2021,馬連,02-14,0.098807381018856,30.283618623666023,2.992245043978292,0.0
202305050309,2023,馬連,02-05,0.0003001094644101424,9428.073260924084,2.829454016755512,0.0
202407010210,2024,馬連,05-08,0.010022508471418263,282.02093628359074,2.8265572230195986,0.0
202409020409,2024,馬連,01-04,0.002822922554094901,730.6790223637402,2.0626502920346144,0.0
202405030709,2024,馬単,09-01,0.1320619975928844,16.182824215373,2.1371360925766605,0.0
202406040812,2024,馬単,10-14,0.08526740539161472,24.449132663623228,2.0847141063025307,0.0
202503020311,2025,馬連,04-13,0.005570280969550527,384.15217785747006,2.1398355657308548,0.0
202506050810,2025,馬単,12-03,0.003698398996493304,932.7219792918719,3.449578032220307,0.0
202106050403,2021,馬連,03-12,0.0014325552717133613,3577.147198064238,5.124461076281603,0.0
