馬名,馬主
アアル,加藤誠
アイアイテーラー,中西浩一
アイアゲート,シルクレーシング
アイアコス,尾上寿夫
アイアス,畑末廣郎
アイアムアッパレ,ワイズマン
アイアムアヒーロー,ワイズマン
アイアムイチオシ,堀紘一
アイアムイチバン,ワイズマン
アイアムイチリュウ,ワイズマン
アイアムイブシギン,堀紘一
アイアムカガヤキ,堀紘一
アイアムカチマショ,堀紘一
アイアムキレマスネ,ワイズマン
アイアムコロンブス,ワイズマン
アイアムジャイアン,ワイズマン
アイアムジュピター,堀紘一
アイアムスゴスギル,堀紘一
アイアムステキ,ワイズマン
アイアムツイテル,堀紘一
アイアムツヨスギル,ワイズマン
アイアムハヤスギル,堀紘一
アイアムヒメ,玉腰勇吉
アイアムビクトリア,堀紘一
アイアムピッカピカ,堀紘一
アイアムヤルワヨ,堀紘一
アイアムユウシュン,ワイズマン
アイアムラベンダー,堀紘一
アイアムルンルン,ワイズマン
アイアムレジェンド,グランド牧場
アイアムロージー,堀紘一
アイアン,石川達絵
アイアンウォール,宮川純造
アイアンオバーカム,池上一馬
アイアンオー,池上一馬
アイアンカレン,池上一馬
アイアンクラッド,ノースヒルズ
アイアンソリッド,池上一馬
アイアンゾーン,池上一馬
アイアンナックル,手嶋康雄
アイアンバローズ,猪熊広次
アイアンパイク,浅田次郎
アイアンパシュート,池上一馬
アイアンフラワー,池上一馬
アイアンブランド,池上一馬
アイアンブルー,日進牧場
アイアンプラン,池上一馬
アイアンポート,池上一馬
アイアンマジン,池上一馬
アイアンミリオン,池上一馬
アイアンムスメ,西村新一郎
アイアンムーン,廣崎双葉
アイアンメイデン,田原邦男
アイアンユウキャン,池上一馬
アイアンランナー,池上一馬
アイアンランラン,池上一馬
アイアンロッキー,池上一馬
アイアンロマン,池上一馬
アイウィットネス,社台レースホース
アイウィル,Ｇリビエール・レーシング
アイウィルビー,落合幸弘
アイオブザストーム,ゴールドアップ・カンパニー
アイオライト,田頭勇貴
アイオリア,井山登
アイオリスパルス,シルクレーシング
アイオロステソーロ,了徳寺健二ホールディングス
アイオープナー,サラブレッドクラブ・ラフィアン
アイオーン,Ｇ１レーシング
アイカチャン,岡田牧雄
アイカムインピース,ゴドルフィン
アイカリトマナカ,村田能光
アイカンアズーラ,コージーレーシング
アイガイッパイ,藤井謙
アイガー,ゴドルフィン
アイガーテソーロ,了徳寺健二ホールディングス
アイガーリー,小谷野宗靖
アイキャンテーラー,中西浩一
アイキャンドウイッ,吉澤ホールディングス
アイキューテーラー,中西浩一
アイク,村木慎吾
アイクルムズ,ブルースターズファーム
アイグローリー,ライフエンタープライズ
アイコトバ,由井健太郎
アイコニック,雅苑興業
アイコン,ゴドルフィン
アイコンテーラー,中西浩一
アイゴットイット,吉田千津
アイサイテーラー,中西浩一
アイサイト,伊藤弘人
アイサマン,伊藤弘人
アイサンサン,岡浩二
アイサーベル,伊藤弘人
アイザックバローズ,猪熊広次
アイシテルヨナオミ,塩澤正樹
アイシュウデイト,三岡陽
アイシーブルー,ディアレストクラブ
アイスアイスベイビ,千明牧場
アイスアンドスノー,吉田晴哉
アイスキング,村上憲政
アイスグリーン,シルクレーシング
アイスケイブ,シルクレーシング
アイスシェルフ,吉田勝己
アイスジェイド,キャロットファーム
アイスジャイアント,吉田勝己
アイスストーム,ゴドルフィン
アイスソード,橋元勇氣
アイスナイン,石瀬浩三
アイスノート,中村祐子
アイスバブル,金子真人ホールディングス
アイスバーグアリー,Ｈ．Ｈ．シェイク・ファハド
アイスフィヨルド,佐々木雄二
アイスフィールド,ミルファーム
アイスフォーク,藤田晋
アイスフォーゲル,サンデーレーシング
アイスブラスト,ＤＭＭドリームクラブ
アイスブレイカー,ミルファーム
アイスマン,岡浩二
アイスムーン,ゴドルフィン
アイスメルティング,ローレルレーシング
アイスモント,吉澤ホールディングス
アイスランドポピー,キャロットファーム
アイスリアン,村上憲政
アイスリンディ,村上憲政
アイスリーディング,薗部博之
アイスヴィスタ,村上憲政
アイスヴィレッジ,ノルマンディーサラブレッドレーシング
アイズ,古賀禎彦
アイズダンシング,ローレルレーシング
アイズミサクラ,二口雅一
アイゼングラフ,藤沼利夫
アイゼンハイム,江馬由将
アイゼンフォルク,田畑利彦
アイゼンヴァンド,ウエスト．フォレスト．ステイブル
アイソウザスター,吉岡泰治
アイソラシー,諸江幸祐
アイソリズム,Ｇ１レーシング
アイソーザライト,タイヘイ牧場
アイタイ,平井裕
アイタカ,岡浩二
アイヅオイワケ,福島徳佑
アイヅヒリュウ,真部晴徳
アイヅリュウコ,真部晴徳
アイヅワカマツ,市川義美ホールディングス
アイティナリー,ノースヒルズ
アイティーテーラー,中西浩一
アイデアユー,ゴドルフィン
アイデアルカット,ミルファーム
アイディアリスト,Ｇ１レーシング
アイトカコイトカ,栗山道郎
アイトネテーラー,中西浩一
アイトマコト,前田葉子
アイトワ,江馬由将
アイトーン,深見富朗
アイドゥ,谷岡牧場
アイドゥーテーラー,中西浩一
アイドクレース,サラブレッドクラブ・ラフィアン
アイドル,石川達絵
アイドルアイズ,長谷川守正
アイドルズアイ,榊原源一郎
アイドルテーラー,中西浩一
アイドルフェスタ,ヒダカ・ブリーダーズ・ユニオン
アイドルヲサガセ,福田光博
アイドンノー,薪浦亨
アイニイ,静内白井牧場
アイニードユー,ゴドルフィン
アイネバーフェイル,飯田正剛
アイノア,ビッグレッドファーム
アイノウィステリア,Ｈ．Ｉコーポレーション
アイノエクスプレス,ライフエンタープライズ
アイノカケハシ,國分純
アイノカタマリ,奥田貴敏
アイノセンシ,日下部勝徳
アイノビューティー,ライフエンタープライズ
アイノファンタジー,ライフエンタープライズ
アイノユメテーラー,中西浩一
アイパラドックス,ライフエンタープライズ
アイビーイダテン,石坂茂ラボ
アイビーカイロス,石坂茂ラボ
アイビーガオー,石坂茂ラボ
アイビーキラリ,石坂茂ラボ
アイビークロノス,石坂茂ラボ
アイビーサムライオ,石坂茂ラボ
アイビースピネル,石坂茂ラボ
アイビーチーキー,石坂茂ラボ
アイビーテーラー,中西浩一
アイビーデゼル,石坂茂
アイビーヒメチャン,石坂茂ラボ
アイビーブリッツ,石坂茂ラボ
アイビーミャーオ,石坂茂ラボ
アイファーアイドル,中島稔
アイファーアクター,中島稔
アイファーアピール,中島稔
アイファーイエロー,中島稔
アイファーイチオー,中島稔
アイファーウィーク,中島稔
アイファーエポック,中島稔
アイファーエンター,中島稔
アイファーオウジャ,中島稔
アイファーオレンジ,中島稔
アイファーキャップ,中島稔
アイファーキャノン,中島俊房
アイファーキングズ,中島稔
アイファーグローブ,中島稔
アイファーサイアン,中島稔
アイファーサックス,中島稔
アイファーシアトル,中島稔
アイファーシャドー,中島稔
アイファージェット,中島稔
アイファージャガー,中島稔
アイファースキャン,中島稔
アイファーステップ,中島稔
アイファーセラピー,中島稔
アイファータレント,中島稔
アイファーダイヤ,中島稔
アイファーチーター,中島稔
アイファーテイオー,中島稔
アイファーネイビー,中島稔
アイファーハニー,中島稔
アイファーバトル,中島稔
アイファーパンサー,中島稔
アイファーパープル,中島稔
アイファーピンク,中島稔
アイファーファイト,中島稔
アイファーファーレ,中島稔
アイファーブラック,中島稔
アイファーブルー,中島稔
アイファーブレーヴ,中島稔
アイファープライス,中島稔
アイファープリティ,中島稔
アイファープレミア,中島稔
アイファーベア,中島稔
アイファーベイジュ,中島稔
アイファーマオ,中島稔
アイファーマグオー,中島稔
アイファーマーリン,中島稔
アイファームーラン,中島稔
アイファーメンバー,中島稔
アイファーモービル,中島稔
アイファーライオン,中島稔
アイファーラクーン,中島稔
アイファーラニオー,中島稔
アイファーラピッド,中島稔
アイファーリリー,中島稔
アイファーリンクス,中島稔
アイファーリーオー,中島稔
アイファーリーダー,中島稔
アイファーリーベン,中島稔
アイファーレッド,中島稔
アイファーレモン,中島稔
アイファーロブスト,中島稔
アイファーローレル,中島稔
アイファーヴァンズ,中島稔
アイファーヴリル,中島稔
アイフィロス,中村祐子
アイフレンズ,ライフエンタープライズ
アイブランコ,ライフエンタープライズ
アイブリンク,中辻明
アイベックス,石瀬浩三
アイベラ,Ｇ１レーシング
アイマックス,井上勇人
アイムアクイーン,牧野好孝
アイムイン,平田修
アイムインディ,山本又一郎
アイムクリエイター,ジーホース
アイムスティルミー,ミルファーム
アイムソーグレイト,平井裕
アイムファイン,ミルファーム
アイムフィアレス,サラブレッドクラブ・ラフィアン
アイムプラウド,藤沼利夫
アイムポッシブル,サンデーレーシング
アイメイドイット,サラブレッドクラブ・ラフィアン
アイヤナ,水野淳
アイヨトワニ,浦野和由
アイラジオーネ,加藤誠
アイラブテーラー,中西浩一
アイラブユー,ミルファーム
アイランド,石川達絵
アイランドガール,窪田芳郎
アイランドピーク,小島將之
アイランドルビー,大島豊彦
アイリスアゲート,社台レースホース
アイリスクォーツ,キャロットファーム
アイリステソーロ,了徳寺健二ホールディングス
アイリスハート,中山泰志
アイリスバイオ,バイオ
アイリスバローズ,猪熊広次
アイリスフィール,杵臼牧場
アイリッシュセンス,ＫＲジャパン
アイリッシュパール,サンデーレーシング
アイリッシュビート,林正道
アイリッシュベル,シルクレーシング
アイリッシュボム,ミルファーム
アイリッシュムーン,那須野牧場
アイリュール,佐藤牧場
アイリータイム,ＣＨＥＶＡＬＡＴＴＡＣＨＥ
アイリーノリチャン,中谷典生
アイリーライフ,ＹＧＧホースクラブ
アイリーン,シルクレーシング
アイリーンテーラー,中西浩一
アイルエクラ,勝本竜二
アイルオブチェリー,ライオンレースホース
アイルキング,中西功
アイルクラウン,ノルマンディーサラブレッドレーシング
アイルシャイン,勝本竜二
アイルシャンス,勝本竜二
アイルショウユー,ミルファーム
アイルチャーム,ノルマンディーサラブレッドレーシング
アイルトン,飯田貴大
アイルトンバローズ,猪熊広次
アイルトンライト,吉田勝己
アイルドゥレーヴェ,勝本竜二
アイルドフルール,多田信尊
アイルドリアン,吉田勝己
アイルハヴウインズ,鈴木芳夫
アイルビリーヴ,勝本竜二
アイルビー,ＧＥＴＮＥＸＴ
アイルビーザスター,岡田牧雄
アイルビーザワン,ノルマンディーサラブレッドレーシング
アイルビーメジャー,岡田壮史
アイルフィレール,勝本竜二
アイルランズコール,シルクレーシング
アイレ,シルクレーシング
アイレスアン,ＴＵＲＦレーシング
アイレント,Ｇ１レーシング
アイロニー,ＨｉｍＲｏｃｋＲａｃｉｎｇホールディングス
アイロンワークス,ゴドルフィン
アイワカツテーラー,中西浩一
アイワナアイドル,ＤＭＭドリームクラブ
アイワナスマイル,ＤＭＭドリームクラブ
アイワナトラスト,ＤＭＭドリームクラブ
アイワナビリーヴ,ＤＭＭドリームクラブ
アイヲコメテ,高橋美雄
アイヲサケブオトコ,コスモヴューファーム
アイヲシルジパング,石川美代子
アイヲツグモノ,三宅勝俊
アイヲヨブテーラー,中西浩一
アインゲーブング,サラブレッドクラブ・ラフィアン
アインシュペンナー,永田和彦
アインジェニー,下河辺隆行
アインツェルカンプ,ノルマンディーサラブレッドレーシング
アインハーディ,吉田千津
アインプレーゲン,ノースヒルズ
アインプロージット,ノースヒルズ
アインホルン,三田昌宏
アイヴィハウス,ゴドルフィン
アイヴィーサ,ノルマンディーサラブレッドレーシング
アイヴォリーアイ,京都ホースレーシング
アイヴォリードレス,サンデーレーシング
アイヴカムバック,サミットレーシング
アウアリイ,吉田照哉
アウィルアウェイ,吉田勝己
アウェイキング,藤田晋
アウェイクニング,ターフ・スポート
アウェイクネス,藤田晋
アウクソー,大島昌也
アウグスタ,高橋貴士
アウグスト,ＧＥＴＮＥＸＴ
アウグーリ,吉田勝己
アウゲンブリック,ライオンレースホース
アウサンガテ,金子真人ホールディングス
アウステルリッツ,サンデーレーシング
アウストラリス,石井輝昭
アウスドルック,サラブレッドクラブ・ラフィアン
アウスラフラッグ,中村伊三美
アウスヴァール,ノルマンディーサラブレッドレーシング
アウセンザイター,平田修
アウダーシア,サンデーレーシング
アウダース,前田清二
アウティスタ,ビッグレッドファーム
アウトウッズ,林正道
アウトオブサイト,ゴドルフィン
アウトオブザブルー,山口功一郎
アウトザロー,ミレレーシング
アウトストラーダ,シルクレーシング
アウトストリップ,岡田牧雄
アウトセイル,ローレルレーシング
アウトドライブ,岡浩二
アウトバーン,中島俊房
アウトパフォーム,ゴドルフィン
アウトライアーズ,丸山担
アウトラウド,山上和良
アウトラン,鈴木康弘
アウトリュコス,シルクレーシング
アウトリーチ,吉田千津
アウトレイジング,三浦勝仁
アウトレンジ,寺田寿男
アウフヘーベン,ＧＥＴＮＥＸＴ
アウフヴィント,吉田照哉
アウラニ,菅藤孝雄
アウラマイスター,礒川正明
アウラヴィータ,ディアレストクラブ
アウリイ,磯波勇Ｆ
アウリガテソーロ,了徳寺健二ホールディングス
アウリッシュ,ゴドルフィン
アウルムレガリア,岡田牧雄
アウレット,ゴドルフィン
アウロス,カナヤマホールディングス
アウローラシエル,高橋正雄
アウローラルミエル,高橋正雄
アエディフィカータ,今村明浩
アエリーゾ,サンデーレーシング
アエル,島川隆哉
アエレオ,柴原榮
アエログラム,サンデーレーシング
アエロプラニーノ,鈴木剛史
アエロリット,サンデーレーシング
アエローザ,ゴドルフィン
アオアラシ,松田整二
アオイアイ,新谷正子
アオイアツヒメ,鈴木照雄
アオイアルファワン,新谷幸義
アオイイーグル,新谷正子
アオイウィンダム,蓑島竜一
アオイエクラタン,鈴木照雄
アオイエンジェル,新谷正子
アオイカゲ,福田光博
アオイカツマ,新谷幸義
アオイカメリア,鈴木照雄
アオイクレアトール,新谷幸義
アオイゲート,斉藤三寛
アオイコウキ,新谷幸義
アオイゴールド,鈴木照雄
アオイゴールドワン,飯田正剛
アオイサクラ,新谷幸義
アオイサロン,鈴木照雄
アオイサンゴショウ,芹澤精一
アオイサンシャイン,新谷幸義
アオイシチフク,鈴木照雄
アオイショー,新谷幸義
アオイシン,新谷幸義
アオイシンゴ,新谷幸義
アオイスイセイ,星加浩一
アオイスター,鈴木照雄
アオイスミレ,林正道
アオイスーパー,内田滋三
アオイタケル,新谷正子
アオイタマヒメ,鈴木照雄
アオイダリア,鈴木照雄
アオイツキ,浅野正敏
アオイツヤヒメ,鈴木照雄
アオイテソーロ,了徳寺健二ホールディングス
アオイテン,新谷幸義
アオイトランプ,新谷幸義
アオイナギサ,松栄牧場
アオイノリプー,中谷典生
アオイハナミチ,鈴木正一
アオイハヤブサ,新谷正子
アオイハルカ,新谷正子
アオイビーナス,鈴木照雄
アオイフェリーチェ,鈴木照雄
アオイフォトグラフ,堀口晴男
アオイフォール,鈴木照雄
アオイプリンセス,新谷正子
アオイベクター,鈴木照雄
アオイホープ,内田滋三
アオイマジェスティ,鈴木照雄
アオイミズホ,新谷幸義
アオイミモザ,ザ・チャンピオンズ
アオイメルスイ,蓑島竜一
アオイモエ,新谷幸義
アオイモモ,新谷幸義
アオイラブリー,鈴木照雄
アオイラリュヌ,鈴木正一
アオイラン,新谷幸義
アオイリキマル,新谷幸義
アオイレーギーナ,川上哲司
アオカチ,松田整二
アオカミ,大瀧啓之
アオキホノオ,ＧＥＴＮＥＸＴ
アオシロツルバミ,松田整二
アオゾラランチ,吉田千津
アオテン,ヒダカ・ブリーダーズ・ユニオン
アオテンジョウ,北所直人
アオハルブルース,小野寺悠太
アオヒメ,大野淳史
アオユウスター,塚田義広
アオラキ,石井輝昭
アオレレ,中村忠彦
アカイイト,岡浩二
アカイツキ,二口雅一
アカイツメ,野村一雄
アカイトリノムスメ,金子真人ホールディングス
アカウフリューゲル,鈴木昌樹
アカオー,共田義夫
アカカゲ,ＸＩＡＯジャパン
アカキチノイレブン,星野隆男
アカクマドリ,ビッグレッドファーム
アカサンピン,由井健太郎
アカザ,鈴木康弘
アカツキジョー,河内孝夫
アカツキリンダ,村岡曉憲
アカツキロットリー,村岡曉憲
アカデミア,近藤英子
アカデミズム,ビッグレッドファーム
アカデミー,近藤英子
アカトンボ,イクタ
アカネ,池袋レーシング
アカネサス,林正道
アカネジョウ,河内孝夫
アカネバローロ,ライオンレースホース
アカノストロング,岩切企画
アカノニジュウイチ,岩切企画
アカヒゲ,佐々木孝之
アカボシ,ゴドルフィン
アカポネタテソーロ,了徳寺健二ホールディングス
アカマ,安部純史
アカマツミッチー,川島牧場
アカラレイア,河合裕明
アカリダイヤモンド,小林祥晃
アカリチャン,北側雅勝
アカリリチャード,小林祥晃
アカリリッキー,小林祥晃
アカンダナパワー,聖心台牧場
アガシ,ケイズジャパン
アガパンサス,池谷誠一
アガラス,サンデーレーシング
アキザクラ,ビッグレッドファーム
アキセブン,石山嘉七
アキトクレッセント,岡田昭利
アキトゴー,大倉佑介
アキノカトレア,穐吉正孝
アキノコマチ,穐吉正孝
アキノサザン,徳山彰俊
アキノスター,穐吉正孝
アキノスマート,増田陽一
アキノヒーロー,徳山彰俊
アキノビューティー,徳山彰俊
アキノフラッシュ,穐吉正孝
アキノポエム,徳山彰俊
アキノヨナガニ,浅沼廣幸
アキバ,高野哲
アキブレイブ,石山嘉七
アキミューミュー,スリーエイチレーシング
アキュートガール,山口敦広
アキラクン,小林祥晃
アキリザーブ,石山嘉七
アキンド,小田切有一
アギレラビーム,北原光一郎
アクアアイ,ＴＮレーシング
アクアジェット,ブルースターズファーム
アクアスパーダ,大野裕
アクアテラリウム,社台レースホース
アクアヒナ,フィールドレーシング
アクアビート,大田恭充
アクアファースト,前川俊行
アクアプローヴァ,柳田悠岐
アクアホワイト,ビッグレッドファーム
アクアポリン,谷掛龍夫
アクアマイスター,水谷美穂
アクアマリンブルー,青芝商事
アクアマリーナ,ヒダカ・ブリーダーズ・ユニオン
アクアマーズ,シルクレーシング
アクアミラビリス,社台レースホース
アクアリオ,村野康司
アクアリッズ,オールラブクラブ
アクアヴァーナル,吉田勝己
アクイローネ,松本俊廣
アクイール,ノースヒルズ
アクウィエス,ビッグレッドファーム
アクエリオン,安原浩司
アクシオン,幅田昌伸
アクシズ,中村祐子
アクシノス,京都ホースレーシング
アクシュラ,ノースヒルズ
アクションスター,福井明
アクションプラン,関田光男
アクセス,石川達絵
アクセラレート,キャロットファーム
アクセル,中辻明
アクセルインバイオ,バイオ
アクセルギア,川下竜彦
アクセルホーリー,吉岡泰治
アクターヒロイン,ヒダカ・ブリーダーズ・ユニオン
アクチノータス,サンデーレーシング
アクチュアリー,石瀬浩三
アクティナ,ノースヒルズ
アクティビティ,近藤英二
アクティブガール,平川浩之
アクティブバイオ,バイオ
アクティブヘイロー,林千枝子
アクティングエリア,ビッグレッドファーム
アクティーボミノル,吉岡實
アクデニズ,根岸朋弘
アクトゥリアン,高橋貴士
アクトゥールキネマ,グリーンファーム
アクトオネストリー,サンデーレーシング
アクトサージ,多田賢司
アクトレスラン,岡村善行
アクナキチョウセン,福田光博
アクニディ,キャロットファーム
アクラシア,ミルファーム
アクルクス,増田江利子
アクルックス,ビッグレッドファーム
アクロアイト,キャロットファーム
アクロスザシーズ,吉田晴哉
アクロスザリバー,岡田牧雄
アクロスティック,社台レースホース
アクロスメモリア,ＹＧＧホースクラブ
アクロビンジャー,吉澤ホールディングス
アクロフェイズ,キャロットファーム
アクロポリス,林正道
アクート,サンデーレーシング
アクートゥス,社台レースホース
アグアフレスカ,社台レースホース
アグニレディアンス,レッドマジック
アグネス,中水英紀
アグネスアース,渡辺公美子
アグネスエーデル,渡辺公美子
アグネスクウ,渡辺公美子
アグネスクレスト,渡辺公美子
アグネスクレバー,前田清二
アグネスサンキ,渡辺公美子
アグネスシュウ,渡辺公美子
アグネススターダム,渡辺公美子
アグネスヒーロー,渡辺公美子
アグネスフォルテ,畑佐博
アグネスブリッツ,渡辺公美子
アグネスユーリヤ,畑佐博
アグネスリバティ,渡辺公美子
アグネスリュウ,渡辺公美子
アグネッタ,菅原広隆
アグラシアド,ライオンレースホース
アグラダーブレ,幅田京子
アグラデッソ,中島俊房
アグラード,キャロットファーム
アグリ,三木正浩
アグリアス,レッドマジック
アグリシュブール,市瀬一浩
アグリッパーバイオ,バイオ
アグリモニー,ＯＲＴＥＧＡ
アグリューム,キャロットファーム
アグルーメ,中村智幸
アグレアーブル,シルクレーシング
アグレイビューティ,Ｇ１レーシング
アグレッシブ,平本敏夫
アグロウ,吉田照哉
アグードイメル,ケーエスＨＤ
アケノミョウジョウ,ミルファーム
アケル,西森鶴
アケルナルスター,永見貴昭
アゲマセン,大田恭充
アゲンストオッズ,諸江幸祐
アコニャン,奥田貴敏
アコルダール,ノルマンディーサラブレッドレーシング
アコルドエール,キャロットファーム
アコンカグア,寺田寿男
アコークロー,Ｇ１レーシング
アゴベイ,ゴドルフィン
アゴルディーノ,ディアレストクラブ
アサアール,ビッグレッドファーム
アサカディオネ,浅川昌彦
アサカディスタンス,浅川昌彦
アサカラキング,山口雄司
アサガクル,近藤健介
アサギリ,大島牧場
アサクサアダム,櫻井素子
アサクサアンデス,田原慶子
アサクサグレース,櫻井素子
アサクサゲンキ,櫻井素子
アサクサスポット,田原慶子
アサクサダイアナ,櫻井素子
アサクサトラマル,田原慶子
アサクサマヤ,櫻井素子
アサクサヴィーナス,櫻井素子
アサケエース,大橋公堯
アサケハーツ,大橋堯
アサケパワー,大橋公堯
アサケボス,大橋堯
アサケレディ,大橋公堯
アサシン,中村忠彦
アサヒ,Ｇリビエール・レーシング
アサマノイタズラ,星野壽市
アサミン,永野雄介
アサリア,インゼルレーシング
アサリチャン,大田恭充
アザル,ケーエスＨＤ
アザレ,島川隆哉
アザワク,オリオンファーム
アシェット,加藤徹
アシェットデセール,キャロットファーム
アシセバイラ,キャロットファーム
アシタカ,広尾レース
アシタガアルサ,千葉正人
アシタノカゼ,吉田照哉
アシタバ,佐久間拓士
アシタバスピリッツ,芳賀克也
アシナダカ,大樹ファーム
アシベツヨウヘイ,前川企画
アシャカウイング,吉冨学
アシャカシーザ,吉冨学
アシャカタカ,吉冨学
アシャカダイキ,吉冨学
アシャカチャン,吉冨学
アシャカデッシュ,吉冨学
アシャカデュメ,吉冨学
アシャカデュラン,吉冨学
アシャカトブ,吉冨学
アシャカトベ,吉冨学
アシャカトライミー,吉冨学
アシャカド,吉冨学
アシャカドリュー,吉冨学
アシャカナウ,吉冨学
アシャカバッハ,吉冨学
アシャカファスト,吉冨学
アシャカブラン,吉冨学
アシャカブラーヴ,吉冨学
アシャカホンマル,吉冨学
アシャカマキシン,吉冨学
アシャカリアン,吉冨学
アシャカリブラ,吉冨学
アシャカルッカ,吉冨学
アシャカルー,吉冨学
アシャカルーク,吉冨学
アシャカロッケ,吉冨学
アシュアビクトリー,Ｇ１レーシング
アシュモレアン,Ｇ１レーシング
アシュラム,フクキタル
アシュラン,間宮秀直
アシュリン,吉田和美
アシュームエアズ,ゴドルフィン
アショカ,草間庸文
アシリパ,飯田正剛
アシレ,古賀禎彦
アジアノカイゾク,福島徳佑
アジアノジュンシン,植村仁
アジアノハナ,永田和彦
アジアミッション,自由が丘サラブレッド倶楽部
アジアンテーラー,中西浩一
アジアントレジャー,永見貴昭
アジアンライナー,高昭牧場
アジアート,高昭牧場
アジェナ,高橋ファーム
アジャイブ,根岸朋弘
アジャイルブラック,平井裕
アジャスタブル,シルクレーシング
アジャスティッド,杉浦和也
アジャスト,ターフ・スポート
アジャストザルート,社台レースホース
アジュアカレンツ,ヒダカ・ブリーダーズ・ユニオン
アジュガ,林正道
アジュバント,伊達敏明
アジュマン,ヒダカ・ブリーダーズ・ユニオン
アジュール,ヒダカ・ブリーダーズ・ユニオン
アジュールブルー,犬塚悠治郎
アジリティ,石瀬浩三
アジーザム,飯田貴大
アスカセオン,上野武
アスカナターシャ,神田紘爾
アスカノソング,豊田智郎
アスカノダイチ,豊田智郎
アスカノツバサ,豊田智郎
アスカノハヤテ,豊田智郎
アスカノミライ,豊田智郎
アスカノリュウ,豊田智郎
アスカノロマン,豊田智郎
アスカリ,吉田勝己
アスカリアン,上野武
アスカロン,小松達昌
アスガルド,野田善己
アスキステソーロ,了徳寺健二ホールディングス
アスキットローラ,中江隆一
アスキーアート,ミルファーム
アスクアイルビゼア,廣崎利洋ＨＤ
アスクアットバット,廣崎利洋ＨＤ
アスクアメージモア,廣崎利洋ＨＤ
アスクアンビシャス,廣崎利洋ＨＤ
アスクアーバンシー,廣崎利洋ＨＤ
アスクイキゴミ,廣崎利洋ＨＤ
アスクウルトラモア,廣崎利洋ＨＤ
アスクエジンバラ,廣崎利洋
アスクエピソード,廣崎利洋ＨＤ
アスクエブリーワン,廣崎利洋ＨＤ
アスクオンディープ,廣崎利洋ＨＤ
アスクオーマイキー,廣崎利洋
アスクカムオンモア,廣崎利洋ＨＤ
アスクガンバーレ,廣崎利洋ＨＤ
アスクキングコング,廣崎利洋ＨＤ
アスククラウンモア,廣崎利洋ＨＤ
アスクケンタッキー,廣崎利洋ＨＤ
アスクコモンタレヴ,廣崎利洋
アスクコンナモンダ,廣崎利洋ＨＤ
アスクサステナブル,廣崎利洋
アスクサヴァイバル,廣崎利洋
アスクザアメリカン,廣崎利洋ＨＤ
アスクシュタイン,廣崎利洋ＨＤ
アスクジョーダン,廣崎利洋
アスクスタイルマン,廣崎利洋ＨＤ
アスクストライク,廣崎利洋
アスクセクシーモア,廣崎利洋ＨＤ
アスクダイアムーン,廣崎利洋ＨＤ
アスクチャンスマン,廣崎利洋ＨＤ
アスクチャンプガイ,廣崎利洋ＨＤ
アスクチャーチル,廣崎利洋ＨＤ
アスクデッドヒート,廣崎利洋ＨＤ
アスクデビューモア,廣崎利洋ＨＤ
アスクトゥマッチ,廣崎利洋
アスクトニーロッソ,廣崎利洋ＨＤ
アスクドゥチャンプ,廣崎利洋ＨＤ
アスクドゥポルテ,廣崎利洋ＨＤ
アスクドゥラメンテ,廣崎利洋ＨＤ
アスクドリームモア,廣崎利洋ＨＤ
アスクドンキバック,廣崎智子
アスクナイスショー,廣崎利洋
アスクナサニエル,廣崎利洋ＨＤ
アスクハッピーマン,廣崎利洋ＨＤ
アスクハッピーモア,廣崎利洋ＨＤ
アスクハードスパン,廣崎利洋ＨＤ
アスクヒロイズガイ,廣崎利洋ＨＤ
アスクヒーロー,廣崎利洋ＨＤ
アスクビギンアゲン,廣崎利洋
アスクビクターモア,廣崎利洋ＨＤ
アスクビックスター,廣崎利洋ＨＤ
アスクビックヴァン,廣崎利洋
アスクビビットモア,廣崎利洋ＨＤ
アスクビートルズ,廣崎利洋ＨＤ
アスクファイアモア,廣崎利洋ＨＤ
アスクフラッシュ,廣崎利洋ＨＤ
アスクブラボー,廣崎利洋ＨＤ
アスクブームキセキ,廣崎利洋ＨＤ
アスクホープマン,廣崎利洋
アスクマンカップ,廣崎利洋ＨＤ
アスクムービーオン,廣崎利洋ＨＤ
アスクメークシェア,廣崎利洋
アスクリノベート,廣崎利洋ＨＤ
アスクレッドスター,廣崎利洋ＨＤ
アスクローンウルフ,廣崎利洋ＨＤ
アスクワイルドモア,廣崎利洋ＨＤ
アスクワンタイム,廣崎利洋
アスクヴィグラス,廣崎利洋
アスクヴィヴァユー,廣崎利洋ＨＤ
アスクヴォルテージ,廣崎利洋ＨＤ
アスクヴレーヴモア,廣崎利洋ＨＤ
アスコットアイ,ノルマンディーサラブレッドレーシング
アスコットダンス,サイプレスホールディングス
アスコットチャンプ,星野隆男
アスコットペスカ,山田信太郎
アスコットレイ,平川浩之
アスコットロマン,矢野雅子
アスコットヴェール,グリーンファーム
アスコリピチェーノ,サンデーレーシング
アスコルターレ,サンデーレーシング
アスコルティアーモ,サンデーレーシング
アスゴッド,広尾レース
アスセナ,三宅勝俊
アスタイクウス,ＫＲジャパン
アスタウイン,三宅勝俊
アスタウンデッド,中村智幸
アスタマニアーナ,吉田千津
アスタラグローリア,ヒダカ・ブリーダーズ・ユニオン
アスタラビスタ,前田幸治
アスタリスク,石川達絵
アスターエポワス,加藤万記子
アスターエルビウム,加藤久枝
