角度,構成,券種,点数,的中,回収率,最悪年,最良年,年数
4.弱い1人気,1人気MF6位以下 × MF2位以内 × 1-50倍,複勝,1228,466,83.7,76.8,91.0,0
4.弱い1人気,1人気MF4位以下 × MF2位以内 × 1-50倍,複勝,3488,1415,83.2,76.7,88.0,0
1.レース選択,混戦（エントロピー上位25%) × MF3位以内,複勝,9855,3687,78.5,76.6,80.7,0
4.弱い1人気,1人気MF6位以下 × MF3位以内 × 1-10倍,複勝,1328,535,79.8,76.5,84.7,0
4.弱い1人気,1人気MF4位以下 × MF1位以内 × 1-50倍,複勝,1749,746,83.1,76.4,91.0,0
1.レース選択,モデルと市場が一致(相関0.7+) × MF1位以内,単勝,13092,3799,80.1,76.2,82.9,0
3.突出度,1位が2位の3.0倍以上 × 人気3,単勝,560,276,89.0,76.1,113.4,2
1.レース選択,混戦（エントロピー上位25%) × MF3位以内,単勝,9855,1411,79.1,76.0,80.3,0
4.弱い1人気,1人気MF4位以下 × MF3位以内 × 1-10倍,複勝,3980,1699,81.1,76.0,85.0,0
4.弱い1人気,1人気MF4位以下 × MF2位以内 × 5-20倍,単勝,2176,251,87.9,75.7,112.1,1
4.弱い1人気,1人気MF4位以下 × MF1位以内 × 5-20倍,複勝,968,369,87.5,75.5,102.8,1
4.弱い1人気,1人気MF4位以下 × MF3位以内 × 5-20倍,単勝,3474,373,83.7,75.2,91.9,0
4.弱い1人気,1人気MF4位以下 × MF1位以内 × 5-20倍,単勝,968,122,93.7,75.0,116.1,2
2.条件の掛合せ,道悪×長距離2100+ × MF3位以内,複勝,504,231,80.7,75.0,91.4,0
1.レース選択,堅い（エントロピー下位25%) × MF3位以内,単勝,13113,3208,77.9,74.8,85.2,0
1.レース選択,堅い（エントロピー下位25%) × MF1位以内,単勝,4371,1753,79.9,74.8,88.1,0
5.複勝多点,MF3位以内 × 10-30倍,複勝,6354,1528,77.6,74.7,81.8,0
4.弱い1人気,1人気MF6位以下 × MF2位以内 × 5-20倍,複勝,831,297,88.5,74.6,94.9,0
2.条件の掛合せ,多頭数16+×長距離2100+ × MF3位以内,複勝,999,455,81.9,74.5,95.0,0
2.条件の掛合せ,重賞級×長距離2100+ × MF3位以内,複勝,954,458,86.6,74.1,96.8,0
2.条件の掛合せ,多頭数16+×長距離2100+ × MF1位以内,複勝,333,191,87.2,73.6,115.2,1
4.弱い1人気,1人気MF4位以下 × MF1位以内 × 1-10倍,複勝,1531,692,83.1,73.3,90.3,0
4.弱い1人気,1人気MF4位以下 × MF1位以内 × 1-50倍,単勝,1749,274,87.5,73.2,102.2,1
4.弱い1人気,1人気MF4位以下 × MF2位以内 × 1-10倍,単勝,2854,442,79.5,72.9,88.7,0
4.弱い1人気,1人気MF4位以下 × MF2位以内 × 1-10倍,複勝,2854,1267,82.8,72.8,87.7,0
5.複勝多点,MF4位以内 × 10-30倍,複勝,12265,2847,76.0,72.7,78.4,0
4.弱い1人気,1人気MF4位以下 × MF2位以内 × 10-30倍,複勝,588,143,84.1,72.3,95.2,0
2.条件の掛合せ,多頭数16+×長距離2100+ × MF5位以内,単勝,1665,253,83.3,72.2,94.5,0
4.弱い1人気,1人気MF6位以下 × MF1位以内 × 5-20倍,複勝,383,139,87.2,72.1,108.5,1
2.条件の掛合せ,重賞級×長距離2100+ × MF3位以内,単勝,954,182,81.8,71.8,99.9,0
2.条件の掛合せ,多頭数16+×重賞級 × MF5位以内,単勝,2840,368,80.6,71.7,91.5,0
2.条件の掛合せ,多頭数16+×重賞級 × MF5位以内,複勝,2840,971,80.2,71.7,87.2,0
4.弱い1人気,1人気MF4位以下 × MF3位以内 × 1-10倍,単勝,3980,598,80.3,71.1,89.2,0
4.弱い1人気,1人気MF4位以下 × MF1位以内 × 1-10倍,単勝,1531,253,81.3,70.6,98.1,0
2.条件の掛合せ,多頭数16+×重賞級 × MF1位以内,単勝,568,121,79.3,69.4,92.7,0
4.弱い1人気,1人気MF4位以下 × MF1位以内 × 10-30倍,単勝,204,20,125.1,69.1,210.2,2
4.弱い1人気,1人気MF6位以下 × MF3位以内 × 1-50倍,複勝,1834,632,77.5,68.6,83.6,0
1.レース選択,混戦（エントロピー上位25%) × MF1位以内,単勝,3285,561,77.5,68.0,88.3,0
2.条件の掛合せ,多頭数16+×長距離2100+ × MF5位以内,複勝,1665,651,82.1,67.7,93.7,0
2.条件の掛合せ,道悪×長距離2100+ × MF5位以内,単勝,840,136,93.6,67.7,104.7,1
4.弱い1人気,1人気MF6位以下 × MF3位以内 × 1-50倍,単勝,1834,212,78.9,66.3,96.7,0
2.条件の掛合せ,重賞級×長距離2100+ × MF5位以内,単勝,1590,239,79.0,65.1,86.1,0
2.条件の掛合せ,多頭数16+×道悪 × MF3位以内,単勝,2319,423,77.6,64.8,86.1,0
4.弱い1人気,1人気MF6位以下 × MF2位以内 × 5-20倍,単勝,831,87,87.1,64.8,123.7,2
2.条件の掛合せ,多頭数16+×重賞級 × MF1位以内,複勝,568,264,81.5,64.7,94.6,0
2.条件の掛合せ,多頭数16+×重賞級 × MF3位以内,複勝,1704,655,77.8,64.5,93.1,0
2.条件の掛合せ,道悪×重賞級 × MF3位以内,複勝,375,148,78.1,64.3,89.5,0
2.条件の掛合せ,道悪×重賞級 × MF5位以内,複勝,625,214,77.7,63.9,87.6,0
4.弱い1人気,1人気MF6位以下 × MF2位以内 × 10-30倍,複勝,250,64,92.8,63.6,126.9,2
