,複勝率,上3に2頭
①現行,59.427443237907205,48.009213557091144
②＋調教,60.28298782494241,48.009213557091144
②＋Elo,59.29582099374794,49.09509707140507
②＋血統expanding,59.26291543270813,47.4827245804541
③全部,59.98683777558408,47.680157946692994
