母父名,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
シーノットラブユー,12,0.25,0.4166666666666667,0.5833333333333334,0.0,0.3,0.3333333333333333,0.25,0.0,0.1,1.0,5.0
シーフロント,8,0.125,0.25,0.5,0.14285714285714285,0.0,,0.0,0.2,0.14285714285714285,0.0,5.25
シーブリーズライフ,5,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,5.8
シーブルー,6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,8.666666666666666
シープシャンクス,20,0.1,0.1,0.15,0.125,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.06666666666666667,0.0,7.55
シーリーコート,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,8.0
シーヴ,7,0.0,0.42857142857142855,0.7142857142857143,0.0,0.0,0.0,0.0,,0.0,0.0,4.142857142857143
シーヴァージア,8,0.125,0.125,0.25,,0.125,0.2,0.0,,0.0,0.0,5.625
ジェイケイクリス,9,0.0,0.2222222222222222,0.2222222222222222,,0.0,,0.0,0.0,0.0,0.0,5.777777777777778
ジェイケイドリーム,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9.625
ジェイム,5,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,11.4
ジェットスパークル,12,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.0,0.09090909090909091,0.0,0.09090909090909091,,0.125,0.0,5.833333333333333
ジェニーソング,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,9.8
ジェネロシティー,7,0.14285714285714285,0.14285714285714285,0.2857142857142857,,0.14285714285714285,0.14285714285714285,,,0.3333333333333333,0.0,7.428571428571429
ジェミーブロッサム,5,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,10.8
ジェラスガール,7,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,,0.0,,8.571428571428571
ジェラスキャット,7,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.2,,0.14285714285714285,,0.3333333333333333,0.0,7.571428571428571
ジェルミナル,6,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,,,0.0,0.5,0.25,0.0,5.5
ジェルヴェーズ,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,9.4
ジェンティルドンナ,6,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,5.5
ジプシー,10,0.1,0.1,0.1,,0.1,0.0,0.3333333333333333,,0.16666666666666666,0.0,6.1
ジプシーハイウェイ,12,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,6.166666666666667
