,複勝率,勝率,平均人気,上3に2頭,全5に3頭,上3平均
速度なし（現行相当）,58.506087528792364,27.04837117472853,1.9012833168805527,46.29812438302073,26.127015465613688,1.418558736426456
速度あり（移植後）,58.90095426127016,27.311615663047057,1.8417242513984864,47.647252385653175,26.850937808489633,1.4425797959855216
