レース条件,ボックス,人気,券種,R数,点数,的中,的中率,累計ROI,最悪年,100%超年数
全体,MF複勝2位以内,全馬4番人気以下,馬連,360,360,3,0.8,37.7,0.0,0
全体,MF複勝2位以内,全馬4番人気以下,馬単,360,720,3,0.4,36.4,0.0,0
少頭数-12,MF複勝3位以内,全馬4番人気以下,馬連,423,451,4,0.9,35.1,0.0,0
全体,MF複勝5位以内,全馬4番人気以下,3連複,14972,5601,13,0.2,35.0,8.1,0
少頭数-12,MF複勝3位以内,全馬4番人気以下,馬単,423,902,4,0.4,34.5,0.0,0
芝,MF複勝5位以内,全馬4番人気以下,3連複,7630,2723,7,0.3,28.3,0.0,0
ダート,MF複勝2位以内,全馬4番人気以下,馬単,176,352,1,0.3,27.0,0.0,1
多頭数16+,MF複勝2位以内,全馬4番人気以下,馬連,206,206,1,0.5,25.3,0.0,1
多頭数16+,MF複勝5位以内,全馬4番人気以下,3連複,6180,2797,5,0.2,22.3,0.0,0
多頭数16+,MF複勝2位以内,全馬4番人気以下,馬単,206,412,1,0.2,22.3,0.0,1
重賞級クラス5+,MF複勝3位以内,全馬4番人気以下,馬連,262,300,1,0.3,16.8,0.0,0
重賞級クラス5+,MF複勝5位以内,全馬4番人気以下,3連複,1307,739,1,0.1,14.4,0.0,0
重賞級クラス5+,MF複勝3位以内,全馬4番人気以下,馬単,262,600,1,0.2,13.8,0.0,0
多頭数16+,MF複勝4位以内,全馬4番人気以下,3連複,3156,508,1,0.2,10.0,0.0,0
