レース条件,ボックス,人気,券種,R数,点数,的中,的中率,累計ROI,最悪年,100%超年数
多頭数16+,MF複勝3位以内,制限なし,馬連,6180,18540,1377,7.4,78.2,71.6,0
多頭数16+,MF複勝2位以内,制限なし,馬連,6180,6180,638,10.3,78.2,72.2,0
重賞級クラス5+,MF複勝2位以内,制限なし,馬連,1307,1307,118,9.0,78.2,63.9,0
ダート,MF複勝4位以内,全馬3番人気以内,馬単,6859,29370,1765,6.0,78.1,70.7,0
重賞級クラス5+,MF複勝4位以内,制限なし,ワイド,1307,7842,1039,13.2,78.0,67.2,0
長距離2100+,MF複勝5位以内,制限なし,馬連,1591,15910,874,5.5,78.0,69.1,0
全体,MF複勝4位以内,制限なし,ワイド,14972,89832,14764,16.4,78.0,73.6,0
芝,MF複勝3位以内,制限なし,馬連,7630,22890,2010,8.8,77.9,71.5,0
全体,MF複勝5位以内,全馬3番人気以内,馬単,14584,71428,4129,5.8,77.9,73.8,0
ダート,MF複勝5位以内,制限なし,馬単,7342,146840,3736,2.5,77.8,70.4,0
道悪,MF複勝5位以内,全馬3番人気以内,馬連,1751,4305,458,10.6,77.8,69.7,0
道悪,MF複勝3位以内,全馬3番人気以内,馬連,1549,2617,326,12.5,77.7,51.9,0
長距離2100+,MF複勝3位以内,制限なし,馬単,1591,9546,451,4.7,77.6,68.2,0
多頭数16+,MF複勝5位以内,制限なし,馬連,6180,61800,2755,4.5,77.5,69.1,0
多頭数16+,MF複勝4位以内,全馬3番人気以内,馬単,5711,23518,1244,5.3,77.3,69.5,0
全体,MF複勝2位以内,制限なし,馬単,14972,29944,1849,6.2,77.3,73.7,0
全体,MF複勝4位以内,全馬3番人気以内,馬単,14079,60706,3668,6.0,77.2,71.1,0
多頭数16+,MF複勝4位以内,制限なし,ワイド,6180,37080,5150,13.9,77.2,69.6,0
道悪,MF複勝4位以内,全馬3番人気以内,馬連,1691,3665,411,11.2,76.9,61.2,0
少頭数-12,MF複勝5位以内,制限なし,ワイド,4381,43810,7412,16.9,76.9,72.5,0
長距離2100+,MF複勝5位以内,制限なし,馬単,1591,31820,874,2.7,76.8,66.4,0
芝,MF複勝3位以内,制限なし,ワイド,7630,22890,4660,20.4,76.7,73.4,0
重賞級クラス5+,MF複勝3位以内,制限なし,馬連,1307,3921,260,6.6,76.6,64.9,0
重賞級クラス5+,MF複勝5位以内,制限なし,馬連,1307,13070,546,4.2,76.6,70.4,0
ダート,MF複勝5位以内,全馬4番人気以下,ワイド,7342,12449,503,4.0,76.6,59.8,1
多頭数16+,MF複勝5位以内,制限なし,馬単,6180,123600,2758,2.2,76.5,68.0,0
ダート,MF複勝3位以内,制限なし,馬単,7342,44052,1901,4.3,76.5,72.7,0
少頭数-12,MF複勝3位以内,制限なし,馬単,4381,26286,1457,5.5,76.5,67.5,0
道悪,MF複勝5位以内,全馬4番人気以下,ワイド,1804,3021,139,4.6,76.5,63.4,0
少頭数-12,MF複勝3位以内,制限なし,3連複,4381,4381,411,9.4,76.4,73.3,0
重賞級クラス5+,MF複勝5位以内,制限なし,3連複,1307,13070,271,2.1,76.4,60.8,1
多頭数16+,MF複勝3位以内,制限なし,馬単,6180,37080,1379,3.7,76.4,68.2,0
芝,MF複勝5位以内,全馬3番人気以内,馬単,7453,36730,2126,5.8,76.4,72.8,0
芝,MF複勝4位以内,全馬3番人気以内,馬単,7220,31336,1903,6.1,76.3,71.5,0
芝,MF複勝2位以内,制限なし,馬単,7630,15260,934,6.1,76.3,68.6,0
重賞級クラス5+,MF複勝3位以内,制限なし,ワイド,1307,3921,609,15.5,76.2,64.4,0
少頭数-12,MF複勝4位以内,制限なし,馬連,4381,26286,2154,8.2,76.1,69.4,0
多頭数16+,MF複勝5位以内,全馬4番人気以下,ワイド,6180,11102,413,3.7,76.1,56.9,1
芝,MF複勝5位以内,制限なし,ワイド,7630,76300,10375,13.6,76.1,72.0,0
長距離2100+,MF複勝5位以内,全馬4番人気以下,ワイド,1591,2514,115,4.6,76.0,53.9,0
全体,MF複勝5位以内,制限なし,馬連,14972,149720,7638,5.1,76.0,71.3,0
ダート,MF複勝4位以内,制限なし,3連複,7342,29368,1206,4.1,76.0,61.7,0
重賞級クラス5+,MF複勝4位以内,制限なし,馬連,1307,7842,402,5.1,75.9,66.8,0
ダート,MF複勝4位以内,制限なし,馬連,7342,44052,2820,6.4,75.7,71.0,0
全体,MF複勝3位以内,制限なし,馬単,14972,89832,3915,4.4,75.7,73.1,0
芝,MF複勝5位以内,全馬3番人気以内,3連複,7453,5456,537,9.8,75.7,68.0,0
芝,MF複勝4位以内,制限なし,ワイド,7630,45780,7564,16.5,75.7,71.8,0
