母父名,母父_産駒数,母父_勝率,母父_連対率,母父_複勝率,母父_芝勝率,母父_ダート勝率,母父_短距離勝率,母父_中距離勝率,母父_長距離勝率,母父_良馬場勝率,母父_重馬場勝率,母父_平均着順
ドリームデュネット,28,0.03571428571428571,0.10714285714285714,0.14285714285714285,0.07692307692307693,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,0.0,8.821428571428571
ドリームドリーマー,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.692307692307692
ドリームバラード,23,0.0,0.08695652173913043,0.13043478260869565,0.0,0.0,0.0,0.0,,0.0,0.0,9.652173913043478
ドリームパール,6,0.0,0.16666666666666666,0.16666666666666666,,0.0,0.0,0.0,,0.0,,9.666666666666666
ドリームピーチ,56,0.07142857142857142,0.125,0.19642857142857142,0.029411764705882353,0.13636363636363635,0.125,0.075,0.0,0.10810810810810811,0.0,7.910714285714286
ドリームプレイ,24,0.125,0.25,0.4583333333333333,0.13043478260869565,0.0,0.13043478260869565,0.0,,0.05555555555555555,0.3333333333333333,7.75
ドリームモーメント,18,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,,0.0,0.0,10.666666666666666
ドリームライター,55,0.10909090909090909,0.12727272727272726,0.18181818181818182,0.0625,0.17391304347826086,0.0,0.1282051282051282,0.09090909090909091,0.11764705882352941,0.09090909090909091,7.2727272727272725
ドリームレディ,39,0.05128205128205128,0.1282051282051282,0.2564102564102564,0.05128205128205128,,0.037037037037037035,0.08333333333333333,,0.07142857142857142,0.0,6.948717948717949
ドリームローズ,29,0.06896551724137931,0.13793103448275862,0.1724137931034483,0.0,0.09090909090909091,,0.07142857142857142,0.0,0.0,0.0,8.655172413793103
ドルチェメンテ,10,0.1,0.1,0.1,0.0,0.125,0.1,,,0.125,,9.7
ドルチェリモーネ,25,0.12,0.12,0.24,0.15384615384615385,0.08333333333333333,,0.16666666666666666,0.0,0.15789473684210525,0.0,6.68
ドルドラムズ,23,0.17391304347826086,0.30434782608695654,0.34782608695652173,0.0,0.23529411764705882,0.125,0.21428571428571427,0.0,0.2,0.0,6.6521739130434785
ドルフィンルージュ,21,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.0,0.11764705882352941,0.10526315789473684,0.0,,0.1111111111111111,0.0,9.238095238095237
ドレスアップ,33,0.06060606060606061,0.15151515151515152,0.24242424242424243,0.0,0.06896551724137931,0.0,0.09523809523809523,,0.058823529411764705,0.125,6.090909090909091
ドレスデングリーン,10,0.0,0.1,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,8.9
ドレスドインファー,8,0.0,0.25,0.375,0.0,,0.0,0.0,,0.0,,4.625
ドントテルソフィア,11,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,,0.0,,6.2727272727272725
ドーニングストーム,6,0.0,0.16666666666666666,0.16666666666666666,,0.0,0.0,,,0.0,,11.666666666666666
ドーバーブリーズ,9,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.14285714285714285,0.0,0.3333333333333333,,0.16666666666666666,0.0,6.333333333333333
ナイアガラロール,13,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.25,0.0,0.0,0.3333333333333333,,0.1,0.0,7.769230769230769
ナイアード,66,0.09090909090909091,0.22727272727272727,0.2727272727272727,0.10344827586206896,0.0,0.06451612903225806,0.041666666666666664,0.2727272727272727,0.10869565217391304,0.0,7.181818181818182
ナイキステイブル,13,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,8.076923076923077
ナイキトライアンフ,50,0.04,0.08,0.24,0.07692307692307693,0.02702702702702703,0.044444444444444446,0.0,,0.027777777777777776,0.0,7.56
ナイキトリック,52,0.09615384615384616,0.15384615384615385,0.17307692307692307,0.0,0.1111111111111111,0.15384615384615385,0.043478260869565216,0.0,0.07692307692307693,0.23076923076923078,7.269230769230769
ナイキフェイバー,38,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.05714285714285714,0.0,0.0,0.06451612903225806,0.0,0.0,0.25,7.342105263157895
ナイスクオリア,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,,0.14285714285714285,0.0,8.583333333333334
ナイスゴールド,35,0.05714285714285714,0.11428571428571428,0.17142857142857143,0.0,0.07692307692307693,0.0,0.0625,,0.045454545454545456,0.0,7.285714285714286
ナイストップクイン,20,0.1,0.15,0.2,0.0,0.11764705882352941,0.1111111111111111,0.0,,0.0,0.25,9.05
ナイスミイチャン,8,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,7.625
ナイスヴァレー,11,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.14285714285714285,0.1111111111111111,0.0,0.0,0.0,0.0,11.0
ナイツエンド,28,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,,,0.0,0.0,8.642857142857142
ナイトオブドバイ,25,0.0,0.08,0.12,0.0,0.0,0.0,0.0,0.0,0.0,,8.16
ナイトドライヴ,13,0.07692307692307693,0.23076923076923078,0.46153846153846156,0.08333333333333333,0.0,,0.09090909090909091,0.0,0.0,0.0,3.769230769230769
ナイトフライト,25,0.2,0.24,0.32,,0.2,0.0,0.21739130434782608,,0.23076923076923078,0.2,6.48
ナイトマジック,52,0.21153846153846154,0.3269230769230769,0.46153846153846156,0.21153846153846154,,,0.11764705882352941,0.2571428571428571,0.21621621621621623,0.2,5.115384615384615
ナイルクイーン,19,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.0,0.07142857142857142,0.0,0.07692307692307693,,0.1,0.0,7.684210526315789
ナオミノユメ,42,0.023809523809523808,0.11904761904761904,0.19047619047619047,0.02564102564102564,0.0,0.0,0.0,0.03571428571428571,0.029411764705882353,0.0,6.285714285714286
ナオミマリア,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2,0.0,0.25,0.0,,0.16666666666666666,,8.142857142857142
ナカヤマジェンヌ,16,0.125,0.125,0.1875,,0.125,0.15384615384615385,0.0,,0.1,,7.6875
ナカヤママニッシュ,11,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.125,0.125,0.0,,0.0,0.3333333333333333,10.727272727272727
ナガラフラワー,17,0.11764705882352941,0.11764705882352941,0.29411764705882354,0.125,0.0,0.07692307692307693,0.25,,0.15384615384615385,0.0,5.9411764705882355
